,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/732000,For Sale:  US Property NO4 MK1 lee enfield,"lake stevens, Seattle, Washington",$ 900,"Listed On: Thursday, December 20, 2012",Rifles,no type,303 British                                                                                ,Bolt Action                                                                                ,Rifle,i have a very nice lee enfield marked us property .303 these rifles were part of the lend lease program ive only shot it a few times it is very accurate and a very fun and historic rifle
1,http://www.armslist.com/posts/732001,For Sale:  AR 15 -LAR grizzly,"Central PA, Harrisburg, Pennsylvania","$ 1,900","Listed On: Thursday, December 20, 2012",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I have an LAR grizzly AR 15. Stainless steel match grade barrel, YHM free float handgaurd, YHM, low profile gas block, YHM, flip up iron sights, magpul CTR buttstock, Ergo grip, and A-2 flash hider. Comes with one 30 rnd mag. I can text pics any time. REDACTED. And please don't email, I will not reply. PHONE CALLS ONLY. thank you."
2,http://www.armslist.com/posts/732002,For Sale:  HI POINT 9c,"FRANKFORT, Lexington, Kentucky",$ 150,"Listed On: Tuesday, December 25, 2012",Handguns,Hi Point                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"CP HIPOINT IN BOX LIKE NEW
REDACTED"
3,http://www.armslist.com/posts/732003,For Trade:  Thompson Center Arms .50 Cal Muzzleloader,"Richlands, Jacksonville, North Carolina",Offer,"Listed On: Thursday, December 20, 2012",Muzzle,Thompson Center                                                                                ,50 Black Powder                                                                                ,no type,Muzzle Loader,Have a thompson center arms .50 cal with simmons deer scope. really nice rifle. looking to trade for another firearm. txt REDACTED.
4,http://www.armslist.com/posts/732004,For Sale/Trade:  SITES Spectre 9mm,"Knoxvillr, Knoxville, Tennessee",$ 800,"Listed On: Thursday, December 20, 2012",Handguns,no type,9mm Luger (9x19)                                                                                ,no type,Pistol,"This listing is for a very rare SITES Spectre HC Semi-Automatic 9mm pistol. This gun has never been fired, finish is very good, comes with all original paperwork.  It is just a little over 14 inches in length, and comes with original 30 round clip

 The Spectre is an Italian submachine gun that was produced by the SITES factory in Turin. It was designed by Roberto Teppa and Claudio Gritti in the mid-1980s. Production in Italy ceased in the year 1997, with the closure of SITES, but proceeded in very small numbers in Switzerland through Greco Sport S.A., a company founded by one of the designers of the Spectre, Claudio Gritti, until 2001. During the mid 80’s and early 90’s, a limited number made its way to the states via imported by American Arms Inc. The Spectre is used by the Swiss armed forces and by Italian armed forces, and has been exported elsewhere.

The Spectre is a standard blowback firearm operating from a closed bolt; however it has some unusual features. The barrel shroud completely hides the barrel. The bolt is designed to pump air through the barrel shroud to provide additional cooling. The Spectre is hammer-fired and the trigger group is double action with a decocker. This allows the shooter to safely carry a round in the chamber and fire immediately. As this eliminates the need for cocking prior to shooting no manual safety is provided. Unconventional 30-round capacity, four-column magazine is provided with the Spectre, but it can also use conventional magazines."
5,http://www.armslist.com/posts/732005,For Sale:  SMITH WESSON 9,"FRANKFORT, Lexington, Kentucky",$ 325,"Listed On: Thursday, December 20, 2012",Handguns,no type,no type,no type,no type,"SW 9W9VE LIKE NEW IN HARD SMITH WESSON  BOX
SHOT LESS THEN 30 ROUNDS 
REDACTED
KY RES."
6,http://www.armslist.com/posts/732006,For Sale:  SPRINGFIELD 20G DOUBLE BARREL,"FRANKFORT, Lexington, Kentucky",$ 250,"Listed On: Tuesday, December 25, 2012",Shotguns,Savage Arms                                                                                ,20 Gauge                                                                                ,Break Open                                                                                ,Shotgun,"MD 511  80-90 CONDITION 20G
LIGHT COLOR STOCK
REDACTED"
7,http://www.armslist.com/posts/732007,For Sale:  Smith & Wesson 500,"North, Houston, Texas",$ 675,"Listed On: Thursday, December 20, 2012",Handguns,Smith & Wesson                                                                                ,500 S&W                                                                                ,Double Action                                                                                ,Pistol,Only fired 9 times.  Perfect Condition.  Priced to sell fast
8,http://www.armslist.com/posts/732008,For Sale:  FS/FT: Leupold Mark 4 CQ/T 1-3x14,"Gahanna, Columbus, Ohio",$ 700,"Listed On: Wednesday, January 2, 2013",Optics,no type,no type,no type,no type,"Selling my Leupold CQ/T in very good condition. Local pick up in Central Ohio prefered 
Price: $700 
I will ship at buyers expense.  

Trades: Vortex Viper PST 2.5-10x44 or SWFA SS 3-9x42 + cash."
9,http://www.armslist.com/posts/732009,For Sale:  Top dollar paid for your AR 15,"Manchester, Manchester, New Hampshire",$ 900,"Listed On: Thursday, December 20, 2012",Rifles,Bushmaster                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"REDACTED
Leave email I will come with cash"
