,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/774000,Want To Buy:  S&W M&P Shield 9mm,"Fairfax Station, Northern Virginia, Virginia",$ 500,"Listed On: Monday, December 31, 2012",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Looking to buy one of these ASAP.  If you have one available, please let me know."
1,http://www.armslist.com/posts/774001,Want To Buy:  WTB: Ruger SR9C,"columbus, Columbus, Ohio",$ 1,"Listed On: Monday, December 31, 2012",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Looking to buy a ruger sr9c handgun. Please call or text me at REDACTED
2,http://www.armslist.com/posts/774002,"For Trade:  Will Trade For AK's, AR's and Ammo","Spencer, Indianapolis, Indiana",Offer,"Listed On: Monday, December 31, 2012",Rifles,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Would like to Trade Pinnacle M series 25W Laser Engraver for quality AK's AR's and Ammo. This engraver was originally purchased and operated by my wife for her stencil business. My wife passed away and I therefore now have no need for the equipment. I would have to look up the original purchase information but I think that we paid somewhere around $18,000 for the machine. Based on Craigslist ads I believe that the machine is currently valued at $4,000 to $6,000 dollars. I did notice one advertised today on Craigslist for $6,500. If interested please drop me an email and I can send pictures and provide you with additional information."
3,http://www.armslist.com/posts/774003,For Trade:  Crosman M4-177,"St. Louis, St. Louis, Missouri",Offer,"Listed On: Monday, December 31, 2012",Paintball/Airsoft,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Crosman M4-177. Fires 177 bb or pellet. Has adjustable stock, removable and adjustable sights, flat top rail for optics, sling mounts and sight adjustment tool. Get it before it is banned. Trade for handgun or make cash offer. No lowball offers. Price or trade must reflect current market for scary looking rifles."
4,http://www.armslist.com/posts/774004,For Sale:  5.56 xm193 1000 rounds,"SE Indianapolis, Indianapolis, Indiana",$ 650,"Listed On: Monday, December 31, 2012",Ammo,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,1000 rounds xm193  $650
5,http://www.armslist.com/posts/774005,For Sale:  Prvi M855,"Any, Wichita, Kansas",$ 325,"Listed On: Monday, December 31, 2012",Ammo,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Prvi Partisan 62 grain, green tip penetrator
500 rd in ammo can.
$325 ftf in Wichita
No trades, price firm."
6,http://www.armslist.com/posts/774006,Want To Buy:  Wanted: Old .22 Rifles of every type,"Waukesha County, Milwaukee, Wisconsin",$ 100,"Listed On: Monday, December 31, 2012",Rifles,Ruger                                                                                ,22 Long Rifle                                                                                ,Single Shot,Pistol,"Hello, I am looking for older .22 rifles. I pay cash and can pick them up ASAP in Waukesha county, and parts of Washington, Dodge and Milwaukee county.
Savage/Stevens, Marlin/Glenfield, single shot, tube magazine etc

It can be damaged, rusty, missing parts or look brand new.
The only thing I am not looking for is rare or expensive rifles.


Text me at REDACTED or reply through armslist"
7,http://www.armslist.com/posts/774007,For Sale/Trade:  Lake City 500 rounds 55gr FMJ,"South, Tulsa, Oklahoma",$ 300,"Listed On: Monday, December 31, 2012",Ammo,Ruger                                                                                ,22 Long Rifle                                                                                ,Single Shot,Pistol,"Bulk packed
$300"
8,http://www.armslist.com/posts/774008,"For Sale/Trade:  Protect Your Constitutional Rights, Kentucky","Southside, Lexington, Kentucky",$ 1,"Listed On: Tuesday, January 22, 2013",Rifles,Bushmaster                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Take a moment to help protect our 2nd Amendment rights by writing to Congress and telling them NO to new gun control legislation.   

Write to:

Rand Paul
208 Russell Senate Office Building
Washington DC, 20510
Web: http://www.paul.senate.gov/

Mitch McConnell
317 Russell Senate Office Building
Washington, DC 20510
Web: http://www.mcconnell.senate.gov/public/

Ed Whitfield (1st District)
2184 Rayburn HOB
Washington, DC 20515
http://whitfield.house.gov/contact-ed

Brett Guthrie (2nd District)
308 Cannon H.O.B.
Washington, DC 20515
http://brettguthrieforms.house.gov/contact/

John Yarmuth (3rd District)
403 Cannon House Office Building
U.S. House of Representatives
Washington, DC 20515
http://yarmuth.house.gov/contact-john2/

Thomas Massie (4th District)
314 Cannon HOB
Washington, DC 20515
https://massie.house.gov/contact-me

Hal Rogers (5th District)
2406 Rayburn House Office Bldg
Washington, DC 20515
https://halrogers.house.gov/contact/contactform.htm

Andy Barr (6th District)
1432 Longworth House Office Building
Washington, DC 20515
http://barr.house.gov/contact"
9,http://www.armslist.com/posts/774009,For Sale:  5.56 ammo @ ar mags,"nm, Fort Wayne, Indiana",$ 250,"Listed On: Monday, December 31, 2012",Ammo,Bushmaster                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,5.56 brass 62gr. penatrator fmj 250 for 300rd. 700 for 900rds. in ammo can pmags 40 troy mags 3 for 95 look up on internet most like as well or better than pmags REDACTED
10,http://www.armslist.com/posts/774010,For Sale:  Ruger Mini 14 Tactical Rifle,"St.Charles, St. Louis, Missouri","$ 1,500","Listed On: Saturday, February 16, 2013",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Model  M14 / 20CF  Like new in box. 6-20 round Ruger mags ,1-5 round Ruger mag ,1-30
round stainless aftermarket mag , Barska 3-9 x 42 IR Compact Scope , Sling .

Gun was test fired ,cleaned and stored"
12,http://www.armslist.com/posts/774012,For Sale:  Century Arms (HK 41 clone) .308 sporter,"Columbus, Columbus, GA, Georgia",$ 800,"Listed On: Monday, December 31, 2012",Rifles,Century International Arms                                                                                ,308/7.62 NATO,no type,no type,"2 /20 rd mag on this weapon 
Comes with optics red/green glowing crosshairs and mil dots
Willing to trade for 1911's para, kimber, colt
With the rise and demand for assault rifles this is a steal 
800 OBO"
14,http://www.armslist.com/posts/774014,"For Sale:  STEVENS single shot 22 tip-up pocket pistol, probably a Model 41 made between 1888 and 1916","Eastgate/ Cincinnati, Cincinnati, Ohio",$ 350,"Listed On: Saturday, January 19, 2013",Antique,no type,no type,no type,no type,"OH, IF THIS RIG COULD TALK...A single action spur trigger with square butt, walnut grips and a 6"" PENCIL BARREL (usually found in 3 1/2"" length) with leaf rear sight AND the matching tooled leather flap holster in natural tan. Often used by trappers, these were sometimes given to young responsible boys or used as parlor guns when shooting was a sport that AMERICANS of all ages were ENCOURAGED TO ENJOY. IT MADE OUR COUNTRY A BETTER PLACE! Sorry, I can't do pictures, NO SHIPPING, TRADES, OR OFFERS. If it's listed, it's available. TEACH KIDS RESPONSIBILITY!!
 LIST A PHONE NUMBER FOR RESPONSE, or it goes to spam with stupid questions."
15,http://www.armslist.com/posts/774015,For Sale:  Selling my 100 round AR15 drum mag for .223/5.56,"Green Bay, Green Bay, Wisconsin",$ 250,"Listed On: Monday, December 31, 2012",Rifles,no type,223/5.56 NATO,no type,no type,"I've run 200 rounds thru this mag and it preformed excellent. Comes with both clear and black panels, speed loader and case."
16,http://www.armslist.com/posts/774016,For Sale/Trade:  rossi  38 special stainless  like new,"knox, Knoxville, Tennessee",$ 275,"Listed On: Monday, December 31, 2012",Handguns,Rossi-Braztech                                                                                ,38 S&W Special                                                                                ,Double / Single Action                                                                                ,Revolver,This gun is in and shots perfect...275 obo...REDACTED.. Done been offered 245 cash
