,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
3,http://www.armslist.com/posts/284003,Want To Buy:  AK & AR-15 Accesories,"West Chester, Cincinnati, Ohio",Offer,"Listed On: Sunday, January 22, 2012",Tactical,no type,no type,no type,no type,"I'm sorta making a hybrid. I'm adapting my AMD-65 to use AR-15 stocks. Here's what I'm looking for:
AR-15 buffer tube 
Magpul or other better than original stocks
castle nut
UltiMak railed hand guard Long version

Looking to buy or trade."
4,http://www.armslist.com/posts/284004,For Sale/Trade:  eotech 556 and others,"mulvane, Wichita, Kansas","$ 1,200","Listed On: Sunday, January 22, 2012",Rifles,no type,no type,no type,no type,"Eotech 556 (night vision compatible) ,newest gen eotech 3x magnifire and surefire millennium flashlight kit with ir filter .....everything you need to have military grade accessories on your black rifle ...all are brand new with boxes and instructions minus the surefire (lost the box) text REDACTED with offers or email"
5,http://www.armslist.com/posts/284005,"For Sale:  Remington 700 SPS 26"" HBAR","Beaumont, Riverside, California","$ 1,400","Listed On: Sunday, January 22, 2012",Rifles,Remington                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,"For sale- Remington 700 SPS Varmint 26"" heavy barrel .308 cal. In a Bell and Carlson Medalist stock in olive drab green with black webbing. Also come with a Millett 4-16x50 tactical scope with illuminated mildot reticle held by Millett rings on a one-piece TPS 20 MOA extended scope base. A tactical bolt is installed and also comes with Harris BRM swivel bipod with lever lock. Only 60 rounds down the barrel and I've decided to switch to .223/ 5.56 cal coz .308 cal. is a bit expensive for me to shoot.



You can also buy just the rifle with it's standards stock with the tactical bolt for $600.00 or will trade for a Remington 700 SPS Tactical in .223/5.56 cal.



Buyer will pay DROS and transfer fees.

For more info please text REDACTED"
7,http://www.armslist.com/posts/284007,For Sale/Trade:  Ruger M77 Gunsite Scout Rifle 308 Cal. 10rnd mag,"Madison, Huntsville, Alabama",$ 775,"Listed On: Sunday, January 22, 2012",Rifles,Ruger                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,"Ruger Gunsight Scout Rifle in 308 Winchester 7.62 Nato,16.5 inch barrel, ten round box magazine, 12.75 ~ 14.25 inch adjustable length of pull, Black laminate stock, adjustable rear sight, picatinny rail, includes a set of Ruger factory 1 inch scope rings. Bought one extra 10 rnd mag from Ruger. Gun is like new sighted in with less than box of ammo only. Near 900 invested with extra 40 mag and tax. Save you a bunch make offer."
8,http://www.armslist.com/posts/284008,For Sale:  Mauser K98 New 30-06,"North Metro, Denver, Colorado",$ 250,"Listed On: Sunday, January 22, 2012",Rifles,Mauser                                                                                ,30-06 Springfield                                                                                ,Bolt Action                                                                                ,Rifle,"Kar 98 Large Ring Mauser
Rebarreled to 30-06 originaly 8mm, new stepped barrel in blue, Bent bolt handle to clear scope, Machined Redfield style scope mount, Large Tasco varmit type scope. Receiver worn military blued finnish, low aftermarket safety. Lengthened buttstock, still wearing sporterized original stock, ugly but functional!
Maybe 10 round through it since barrel job, very accurate rifle!
Price is $250 FIRM  Local Sale Only!!!"
9,http://www.armslist.com/posts/284009,For Sale:  Ruger Blackhawk 357 Magnum  - Rare 3 screw model,"South County, St. Louis, Missouri",$ 550,"Listed On: Sunday, July 22, 2012",Handguns,Ruger                                                                                ,357 Magnum                                                                                ,Single Action                                                                                ,Revolver,"Ruger Blackhawk 357 Magnum Single Action Revolver  - Rare 3 screw model - 6"" barrel - awesome condition!!  $550 or best offer. Will entertain trade offers also! Let me know what you have!"
10,http://www.armslist.com/posts/284010,For Sale:  As New Olympic 5.45x39 Complete Upper SS Barrel Flattop,"Ft Jennings, Ohio, United States",$ 450,"Listed On: Monday, January 23, 2012",Rifles,Olympic Arms                                                                                ,5.45x39mm                                                                                ,Semi-automatic                                                                                ,Rifle,"1 range session on this upper...60 rounds fired.  Upper worked flawless on a Aero Precision lower.  Complete upper with BCG and charge handle.  416SS barrel is great for shooting surplus corrosive.  No Trades.

This is a factory built upper!  (1) 30rd 5.45 mag included"
11,http://www.armslist.com/posts/284011,For Sale:  Magnum Research baby eagle Like new mint condition 9mm,"Salem, Salem, Oregon",$ 450,"Listed On: Sunday, January 22, 2012",Handguns,Magnum Research                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"450.00 cash firm on the price

Magnum Research baby eagle Like new mint condition 9mm

Only 20 rounds threw the barrell flawless great gun comes with 2 clips and a holister comes with box and paper work"
14,http://www.armslist.com/posts/284014,For Sale:  mossberg 12ga for mosin rifle,"north Springfield, Springfield, Missouri",$ 300,"Listed On: Sunday, January 22, 2012",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action,no type,"Looking to trade my pump shotgun for a mosin rifle and ammo or a mosin and cash.

Shotguns a 12ga, pump, 20 inch barrel, and comes with a pistol grip."
15,http://www.armslist.com/posts/284015,For Sale:  FS: Dan Wesson 2010 CCO,"30 Miles North Of Madison, Wisconsin, United States","$ 1,200","Listed On: Sunday, January 22, 2012",Handguns,Dan Wesson                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"Gorgeous grips!!!
Simply do not need another CCO.

$1200  FIRM. NO TRADES.

Specifics can be found here:
http://www.cz-usa.com/products/view/dan-wesson-cco-bobtail/

THIS IS A FACE TO FACE, CASH ONLY SALE!
Buyer must be willing to sign a private bill of sale"
