,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5177000,For Sale:  Mini -14 tactical for sale,"Westchester, Cincinnati, Ohio",$ 650,"Listed On: Saturday, February 27, 2016",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,I have a like new ruger mini 14 tactical rifle with 4 factory twenty round magazines. I also have some ammo to throw in as well. Rifle is in perfect working order and I can send pictures upon request. I will sell for 650 dollars Cash.
1,http://www.armslist.com/posts/5177001,For Sale/Trade:  Smith & Wesson Shield 9mm  w/thumb safety &  iwb holster,"Raleigh Crabtree /East Clayton, Raleigh / Durham / CH, North Carolina",$ 399,"Listed On: Friday, July 29, 2016",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"Smith & Wesson Shield 9mm w/thumb safety in excellent condition. If you have any questions, let me know."
2,http://www.armslist.com/posts/5177002,For Sale:  Bulk 223 on sale,"Tampa, Tampa/St. Pete, Florida",$ 145,"Listed On: Wednesday, August 23, 2017",Ammo,no type,no type,no type,no type,New commercial ammo company in Tampa in production. Local pickup available in our online store. Credit cards accepted.Bulk reman 223 on sale $145 per 500rd ammo canhttp://www.hyperionammo.com
5,http://www.armslist.com/posts/5177005,For Sale:  SKS PACKAGE,"Fredericksburg, Northern Virginia, Virginia",$ 400,"Listed On: Monday, February 15, 2016",Rifles,no type,no type,no type,no type,"Comes with wood ammo crate, ammo vest and 100 rounds on stripper clips"
9,http://www.armslist.com/posts/5177009,For Trade:  Performance Center 627 8 shot,"Locust Grove, Pryor, east of Tulsa, Oklahoma, United States",Offer,"Listed On: Monday, February 15, 2016",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,no type,Revolver,Lnib Performance Center .357 mag 8 shot. looking for trade offers.
15,http://www.armslist.com/posts/5177015,For Sale:  Glock 23 or 27 Gen 4 WITH EXTRAS,"Littleton, Denver, Colorado",$ 800,"Listed On: Monday, February 15, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,no type,Pistol,"Glock 23 or Glock 27 (both Gen 4), no more than 50 rounds put through each -- 40 S&W Winchester 180 gr FMJ 50 Rnds (500 total) -- 40 S&W Remington UMC Target 180 gr (250 rds total) -- Speer Lawman 165 Grain Total Metal Jacket Box of 50 (100 rds total) -- Hoppe's Boresnake cleaner (1) --  Magazines, regular (8) Magazines, extended (2) -- List price just under $1,000 Yours $800 -- or $500 for the pistol with three (3) magazines"
17,http://www.armslist.com/posts/5177017,For Sale:  Russian Mosin Nagant,"Fredericksburg, Northern Virginia, Virginia",$ 180,"Listed On: Monday, February 15, 2016",Rifles,no type,no type,no type,no type,with bayonet and cleaning kit.
18,http://www.armslist.com/posts/5177018,Want To Buy:  Looking for Taurus Raging Judge Magnum,"Daytona Area, Orlando, Florida",$ 700,"Listed On: Monday, February 15, 2016",Handguns,Taurus                                                                                ,454 Casull                                                                                ,Single Action                                                                                ,Revolver,"I'm in the Daytona area and looking for a new or lightly used Raging Judge Magnum. If you have one available, let me know! Will come to you if within a reasonable distance. Thanks"
19,http://www.armslist.com/posts/5177019,For Sale/Trade:  ruger 454 casull,"fenton, Flint, Michigan",$ 900,"Listed On: Monday, February 15, 2016",Handguns,Ruger                                                                                ,454 Casull                                                                                ,Double Action                                                                                ,Revolver,nice gun .. only shot 20 times
21,http://www.armslist.com/posts/5177021,For Sale/Trade:  Smith and Wesson 40 cal with extras,"Cleveland, Chattanooga, Tennessee",$ 375,"Listed On: Monday, February 15, 2016",Handguns,no type,no type,no type,no type,"Great shape , mfg in 2011 . comes with all the factory stuff / paperwork , fired shell casing . 3 high cap mags , 1 is a +1 . Holster , 100 rds of ammo . Around 500 rounds , also has a stingray laser that is made for this sigma's rail , very low profile .  $ 375 for everything , $ 325  without the laser . Must be legal to own , Tn resident . Pick up in Cleveland"
