,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/2716000,For Trade:  SIG Sauer P229R .40 All Stainless Elite..  LNIB,"White Lake, Detroit, Michigan",Offer,"Listed On: Wednesday, February 19, 2014",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double / Single Action                                                                                ,Pistol,"LNIB SIG Sauer P229R .40 All Stainless Elite, features SIGLITE® night sights, DA/SA SRT trigger, Elite Rosewood Grips, two 12RD magazines, box, lock and manual. 

 This is my last DA/SA..  I have switched to LEM and DAK only..."
1,http://www.armslist.com/posts/2716001,For Sale:  Custom marlin xt 22 magnum,"Se ks, Southeast, KS, Kansas",$ 300,"Listed On: Wednesday, February 19, 2014",Rifles,Marlin                                                                                ,22 Magnum                                                                                ,Bolt Action                                                                                ,Rifle,"Marlin xt 22 magnum with 4 and 7 rd magazine, boyds rimfire hunter stock and factory synthetic stock. Rifle has had the barrel shortened and has been duracoated hk black. It is in excellent shape.  I also have around 350rds I would sell with it."
2,http://www.armslist.com/posts/2716002,Want To Buy:  WTT for Glock 23/27/19/26 FTF in Maine,"Maine, Maine, United States",Offer,"Listed On: Wednesday, February 19, 2014",Handguns,Glock                                                                                ,no type,Double Action                                                                                ,Pistol,"I'm looking to trade face to face in Maine for a Glock, preferably gen 2/3, in 40sw but would consider 9mm, would really be looking for a 23,27,19,26. Used preferred it doesnt really matter if its well used as long as it's functional. Let me know what you have.

 I've got a few guns/Ammo to trade. Can possibly include cash too, willing to drive.
Send me a message for more info.
WILL FOLLOW ALL LAWS. Can provide Maine DL and License to Carry."
3,http://www.armslist.com/posts/2716003,For Sale:  Suunto X-Lander Military Black,"Marysville, Seattle, Washington",$ 200,"Listed On: Wednesday, March 12, 2014",Tactical,no type,no type,no type,no type,"Brand new Suunto X-Lander. Bought it and it's just not the watch for me. Unfortunately I threw out the case and manual a bit ago. 

This watch retails new for around $300. Asking $200

Features

    Altimeter, barometer, compass
    Aluminium case with mineral glass
    Cumulative altitude log
    Altitude log
    Vertical speed
    Weather trend indicator
    Temperature
    Multiple watch, date and alarm functions
    User-replaceable battery"
6,http://www.armslist.com/posts/2716006,For Sale/Trade:  ruger sr9c stainless +cash/ammo for something nicer,"greenfield lake/cb road/sunset park, Wilmington, North Carolina",$ 400,"Listed On: Monday, February 24, 2014",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"PLEASE READ THE WHOLE AD BEFORE YOU CONTACT ME.

ruger sr9c stainless. for sale or trade. comes with two 10 round mags with flush and extended mag plates, and one 17 round mag plus the box, test round, and papers. gun has been kept clean and is in good condition and I've fired maybe 400-500 factory loads, which is about the recommended break in count. i really like this gun but I'm ready for something new. $400 cash for sale, or trade + cash/ammo for a more expensive piece. i have purchase permits to show and want to do a bill of sale.

yes the picture is backwards. gun is normal i assure you.
lemme know what you got."
7,http://www.armslist.com/posts/2716007,For Sale/Trade:  MEC 650 Shotshell Reloader w/new bottles,"Marshfield, Springfield, Missouri",$ 100,"Listed On: Wednesday, February 19, 2014",Ammo,no type,no type,no type,no type,"Used shotshell reloader in working condition with new bottles.MEC 650
REDACTED"
8,http://www.armslist.com/posts/2716008,For Sale/Trade:  Both valued at 400.00,"Stillwater, Oklahoma, United States",$ 400,"Listed On: Wednesday, February 19, 2014",Handguns,no type,32 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,I have a MODEL 1914.  32 Automatic.  BEISTEGUI HERMANOS EIBAR Espana that I would like to trade for a lever action 22.....also to add I have a Ranger RCI 2970. That has am/fm as well as usb channels for ham radio opertions or as a regular CB.  It has a built in 125 watt amp and it puts outs almost 200 watts of power.
9,http://www.armslist.com/posts/2716009,For Sale:  Savage 112 300 Win Mag,"Farragut, Knoxville, Tennessee",$ 675,"Listed On: Wednesday, March 5, 2014",Rifles,Savage Arms                                                                                ,300 Winchester Magnum                                                                                ,Bolt Action                                                                                ,Rifle,"Savage 112 BVSS in 300 Win Mag. Stainless, fluted barrel, excellent condition and super accurate. These make great 1000 yard guns. Stainless Barreled Action, Heavy,Fluted, Free-Floating and Button-Rifled Barrel, with Internal Box Magazine and Swivel Studs
No trades"
10,http://www.armslist.com/posts/2716010,Want To Buy:  wtb,"somerset, Lexington, Kentucky",Offer,"Listed On: Wednesday, February 19, 2014",Handguns,Dan Wesson                                                                                ,9mm Luger (9x19)                                                                                ,no type,Pistol,"Im looking for a few guns i have Cash. 
1. Glock 17 gen 3 
2.glock 29 gen 3
3. Glock 19 or newer gen 4
5. Sa trp armory kote Only 
6. Dan wesson valor fullsize no stainless 
7. Ed Brown fullsize 

Please send pics,price and location. Thanks"
11,http://www.armslist.com/posts/2716011,For Sale/Trade:  Excellent Sig Sauer P229 two tone .40,"macomb, Michigan, United States",$ 675,"Listed On: Wednesday, February 19, 2014",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double / Single Action                                                                                ,Pistol,Sig 229(railed). Two tone. Chambered in .40. Excellent condition.
