,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/5248001,"For Sale/Trade:  Deal of the Day:TODAY ONLY- My Loss Your Gain must See Inside, Will take Cash or Trade for Complete AR Lower Reciever/12 Gauge/ Other  Pistols Must Look","Roanoke/Bedford County Line Near Vinton/RT24, Roanoke, Virginia",$ 250,"Listed On: Monday, March 7, 2016",Handguns,Taurus                                                                                ,22 Long Rifle                                                                                ,Double Action                                                                                ,Pistol,"New Taurus PT-22 Pistol with rate dual stainless steel frame and barrel with Rosewood Grips' discontinued for ugly polymer model that replaced it' Google it and you decide.  Has the famous Tip-Up Barrel,  8+1 Capacity, comes with original box,  extra 8rd Taurus Clip New in Packaging with Holster and Top Quality CCI Ammo.  The gun is New but just to be safe it's been thoroughly cleaned and lubricated and test fired- I put 6 bulletes in the clip, one directly into the tip-up barrel and then took it outside and pulled the trigger as fast as I could with absolutely beautiful results and no issues of any kind.  Great for pocket carry or anyone with low hand strength.  Anyone can use this pistol because although you can rack the slIde as normal you don't have to so it's perfect for those with low hand strength or arthritis, etc. Bought for wife but she won't carry so it's gone today.  $250 Cash or Trade for larger caliber handgun, rifle , shotgun,  Hi-Point Carbine in 9/40/45 OR TRADE FOR COMPLETE AR LOWER RECEIVER- ACT FAST WON'T LAST. EMAIL ME FOR FAST RESPONSE"
2,http://www.armslist.com/posts/5248002,For Sale:  RARE and Collectible 581 series black laminate Mini-14 with lots of extras,"Fort Myers, South West Florida, Florida",$ 850,"Listed On: Monday, March 7, 2016",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Davidson's Exclusive Limited Edition model. Ruger doesn't make these any more! There is absolutely nothing wrong with the weapon, perfect operating condition. I really love this gun, no cheap plastics, just good, solid stainless steel and laminate. Perfect for hunting in less than ideal weather without any worries. I am willing to FTF or ship at buyer's expense.It has less than 100 rounds through it.Function has been 100% out of box with several types of 5.56 and .223 ammo. I never benched it out to 100 yards, but it is definitely more accurate than I am with iron sights.The lot includes:581 series mini-14Tapco tactical stockBlack laminate Ruger stock (original) in pristine conditionRuger 5-round magazineRuger 10-round magazineRuger 20-round magazineRuger 30-round magazineRuger scope ringsFactory lockOwner's ManualRuger rifle sockI would like to sell everything as a package. Asking $850 - USPS Money Order or Cash. FTF or shipping at buyer's expense located in southwest Florida (Lee, Charlotte, Hendry, Collier, Desoto Counties). Please do not hesitate to contact me with any comments or questions."
3,http://www.armslist.com/posts/5248003,For Sale:  HK VP9/p30 15rd 9mm magazines,"St louis, St. Louis, Missouri",$ 65,"Listed On: Monday, March 7, 2016",Magazines,no type,no type,no type,no type,I have 4 brand new HK vp9 or p30 9mm magazines for sale.REDACTED text only please
4,http://www.armslist.com/posts/5248004,For Sale:  Glock 26/27 .080 IWB Kydex Holster,"South, Colorado Springs, Colorado",$ 40,"Listed On: Monday, March 28, 2016",Holsters,no type,no type,no type,no type,"Here is a New black .080 IWB Kydex holster for a Glock 26/27.  I have quite a few colors in stock, different attachment peices, or can order it. Feel free to respond to this if you are interested in something else. IWB or OWB, Currently have molds for xds 3.3, SW Shield, Glock 17/22/31, Glock 19/23/32, Glock 26/27, Glock 43, sig p226, sigp229. Thanks for reading if you got this far!!"
5,http://www.armslist.com/posts/5248005,For Sale/Trade:  Glock 27 with extras,"Clackamas / Southeast, Portland, Oregon",$ 560,"Listed On: Monday, March 7, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Gen 3 Glock 27 Comes with four mags, one has the pinky extension and one has the plus one extension.Also has a Pyramid competition adjustable trigger with the allen wrenches to adjust it as well as a 3.5 lb connector barWill include stock trigger and stock connector bar.Extended chrome slide release and mag release and the stock ones.extra stock take down leverstock and chrome aluminum pins"
6,http://www.armslist.com/posts/5248006,For Sale:  Remington model 8 35 remington,"65 Pleasant St.  Plymouth NH, New Hampshire, United States",$ 375,"Listed On: Monday, March 7, 2016",Rifles,Remington                                                                                ,35 Remington                                                                                ,Semi-automatic                                                                                ,Rifle,Remington model 8 35 remington.Rifle shoots and works great.Serial number 506--.  REDACTED   REDACTED
8,http://www.armslist.com/posts/5248008,For Sale/Trade:  Springfield XDM 5.25 Competition series 9mm,"Nashville, Nashville, Tennessee",$ 750,"Listed On: Tuesday, March 15, 2016",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Just seeing what's out there. This gun has about 50-60 rounds down the pipe. Cleaned and never abused. Looks absolutely brand new. Text me with questions or offers at REDACTED
10,http://www.armslist.com/posts/5248010,For Sale/Trade:  Gen 4 Glock 21 45ACP,"Lexington, Winston Salem, North Carolina",$ 480,"Listed On: Tuesday, April 26, 2016",Handguns,Glock                                                                                ,45 ACP                                                                                ,no type,Pistol,"Gen 4 Glock 21 chambered in 45ACP. Overall great condition, one spot from holster wear on the left hand side as pictured. 3 13rd Original Glock Mags & original box. Etching has been color filled white but can be removed if preferred. Trade value $525, trade preferences listed below. Must have NC CCW or PPP. Bill of Sale will be signed."
11,http://www.armslist.com/posts/5248011,For Sale:  PPQ M2 9MM,"Toledo, Toledo, Ohio",$ 680,"Listed On: Sunday, April 24, 2016",Handguns,Walther                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,NEW WALTHER PPQ M2 IN 9MM FOR 679.99
12,http://www.armslist.com/posts/5248012,For Sale:  Springfield xdm 9mm,"Plymouth, Indiana, United States",$ 600,"Listed On: Monday, March 7, 2016",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Everything included + 500 rounds of 9mm ammunition.
