,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5251000,"For Sale:  Smith & Wesson .40 S&W SD40VE 4"" Compact Barrel 14 Round Double Stack , Semi Auto Chrome Pistol","Marietta, Atlanta, Georgia",$ 330,"Listed On: Monday, August 8, 2016",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,Single Action                                                                                ,Pistol,"For Sale Is.... A USED Smith & Wesson Blue Steel 40 S&W CAL, 14 Round Capacity ; (1)Double Stack Clip This pistol is in working condition and has been checked through our local police Marietta department, All of our firearms being sold will require a background check to be ran, a 4473 must be filled out &/or presentation of a Concealment Carry License. We also do loan on firearms, gold or any thing of value. Our store contract info : 770  419 7999"
1,http://www.armslist.com/posts/5251001,For Sale:  Black hawk holster,"Chesapeake, Hampton Roads, Virginia",$ 1,"Listed On: Tuesday, March 8, 2016",Handguns,Smith & Wesson                                                                                ,40 cal                                                                                ,Double / Single Action                                                                                ,Pistol,I have a black hawk holster 3 weeks old I paid $33 for it for my full size xd .40 I also have 2 12 round mags and a little ammo make me an offer need sold ASAP call or text REDACTED or REDACTED
2,http://www.armslist.com/posts/5251002,For Trade:  S&W 19-3 snubnose,"Stateline (Ardmore), Huntsville, Alabama",Offer,"Listed On: Tuesday, March 8, 2016",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double Action                                                                                ,Revolver,Looking for handgun trade offers on this prelock combat magnum from Smith and Wesson. Model 19-3 from late 1970's. Pinned and recessed with 2 1/2 inch barrel and round butt. Zero MIM parts in this classic. Fits the hand like a glove. Lockup and bore both excellent. Has had trigger job and hammer spur removed for a super sweet double action pull. No emails please. Call or text REDACTEDPlease check my other listing for my 4 inch nickle model 19
3,http://www.armslist.com/posts/5251003,For Trade:  Remington Sportsman 48,"Mt Pleasant, Iowa, United States",Offer,"Listed On: Wednesday, April 13, 2016",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"I have a 12 guage Remington Sportsman 48.  It has a 26"" skeet barrel, mid bead, and has been professionally threaded for Carlson choke tubes.  Comes with 3 choke tubes, Turkey, Full, and Mod and a left or right hand safety, which is easy to switch out.  Also comes with an extra stock and forearm.  I had the original stock cut down, so my daughter could shoot some trap and hunt with a 12 gauge, to see how she would like it, before purchasing her a 12 guage of her own.  I then bought the additional stock and forearm set, so I could hunt rabbits with it again.  Unfortunately it just doesn't get shot much, as I am mostly into pistol shooting now and own a couple other shotguns.  Shoots great, but has been hunted with most of its life, so does show the use of a field gun. Must provide copy of Iowa DL, permit to carry, or purchase and be willing to sign bills of sales showing the trades and I will provide the same and bills of sale."
6,http://www.armslist.com/posts/5251006,For Sale/Trade:  AR-15 Custom Core15,"Murfreesboro, Murfreesboro, Tennessee",$ 750,"Listed On: Tuesday, March 8, 2016",Rifles,Core Rifle Systems                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I am selling a new, never fired, very tight gun, custom built AR-15 with Core 15 lower, with free float barrel, all mil spec. For more info, just ask. Here is a break down of the AR; DTI 16"" mid length barrel, GT (GunTec) modular free float tube, Core 15 lower, CMMG lower parts kit and butt stock, a Double Star charging handle, semi-auto bolt, and oversize birdcage.Trade on a Colt 45, Sig P220 or 1911, Kimber, or nice double barrel."
7,http://www.armslist.com/posts/5251007,"For Sale:  2-  3"" 1911 holsters","Saint Louis, St. Louis, Missouri",$ 100,"Listed On: Monday, March 21, 2016",Holsters,no type,no type,no type,no type,"New High Noon Hideaway holster never used.  And Galco King Tuk.  Both made for 3"" 1911.  Also included but not pictured, galco leather mag holder."
8,http://www.armslist.com/posts/5251008,"For Sale/Trade:  TAURUS THE JUDGE GEN 2, 3"" MAGNUM STAINLESS STEEL PACKAGE  45LC .410 SHOT & 9MM","TAMPA OVER BY AIRPORT, Tampa/St. Pete, Florida",$ 650,"Listed On: Tuesday, March 8, 2016",Handguns,Taurus                                                                                ,no type,Double / Single Action                                                                                ,Revolver,"TAURUS JUDGE GEN 2, 3"" MAGNUM STAINLESS STEEL (3"" BARREL AND 3"" CHAMBER), HAS HOGUE GRIP FAR BETTER THAN FACTORY GRIP, FULL GUNSMITH ACTION JOB (STOCK INTERNALS GUNSMITH DEBURRED AND POLISHED $125.00) FACTORY TRIGGER PULL KEPT UNMODIFIED. LASERLYTE PICATINNY RAIL MASSAGED TO FIT PERFECTLY FOR LIGHT OR LASER ADDON, FIRED LESS THAN 20 TIMES... COMES WITH WINCHESTER PDX1 .410 AMMO, WINCHESTER 45LC AMMO, WINCHESTER 9MM AMMO I WILL THROW IN (NOT PICTURED)  .410 TO 9MM CONVERSION TUBES (WORKS GREAT AND ACCURATE UP TO ABOUT 30 YARDS ISH..) ORIGINAL NUMBERS MATCHING BOX PAPERWORK ACCESSORIES ... FIREARM IS IN LIKE NEW CONDITIONASKING $650.00 OBO (OVER 800.00 INVESTED) OPEN TO TRADE OFFERS516*-*220*-*4136 CALL OR TEXT (NO INTEREST IN COMMERCIAL SOLICITATIONS)"
9,http://www.armslist.com/posts/5251009,For Sale/Trade:  New just assembled 223/556 ss barrel ar freefloat,"Kannapolis, Charlotte, North Carolina","$ 1,000","Listed On: Tuesday, March 8, 2016",Rifles,CMMG                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,Just finished assembling new CMMG ar 15 m16 bolt carrier group stainless steel heavy barrel this is mid length mid length gas tube new gas block Midwest industries M lock free float rails 30 millimeter reproduction muzzle brake. Spikes upper CMMG lower CMMG firing group standard buffer standard spring will come with moe buttstock shows the standard a2 buttstock for picture.1 30rd pmag and argo grip and core15 enhanced trigger guard bolt carrier group also has the b5 backplate  quick attach  and quick attach  adapter is currently a Spike's m16 bcg I can add a fail zero nickle boron bcg for right trade
10,http://www.armslist.com/posts/5251010,For Sale:  Vortex Venom with American Defense riser mount,"Charleston, Charleston, South Carolina",$ 400,"Listed On: Friday, April 15, 2016",Optics,no type,no type,no type,no type,"I am selling my Vortex Venom with American Defense riser mount. They are both brand new and still in original packaging. I have 3 of these and they're awesome. The Venom comes with a picatinny adapter but it's too low for an AR. It has a 3 MOA dot and an ambient light sensor (Adjusts automatically to light). Really tough, thick glass that is fully multi coated. Vortex offers their awesome VIP warranty on all products. The mount is CNC machined, and extremely sturdy. Also covered by VIP warranty. More info can be found on their site. Cash or paypal only. You pay shipping."
11,http://www.armslist.com/posts/5251011,For Sale:  Green Tip Federal M855 62grain 5.56,"Lorton, Northern Virginia, Virginia",$ 1,"Listed On: Thursday, May 26, 2016",Ammo,no type,no type,no type,no type,"I have a few thousand rounds of M855 for sale. I am looking $.40 a round. Will also trade for G43, a 1911 or a nice AR either 5.56 or 7.62. I will add cash to the right deal if needed."
