,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/749000,For Trade:  Egyptian Maadi AK Variant,"Brentwood, Nashville, Tennessee",Offer,"Listed On: Monday, December 24, 2012",Rifles,no type,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"For Trade: Egyptian Maadi AK Variant
Includes: 6 30rd Magazines
I am only interested in trades at this time
Let me know if you have any questions."
1,http://www.armslist.com/posts/749001,For Sale:  WTB .22 pump,"San antonio, San Antonio, Texas","$ 3,000","Listed On: Monday, December 24, 2012",Rifles,no type,22 Long Rifle                                                                                ,Pump Action,no type,Looking for a pump action .22 or level action if have a henry would be great can pay cash or trade for a 30/30 marlin 336
3,http://www.armslist.com/posts/749003,Want To Buy:  WTB:Marlin 1895 45-70,"West Suburbs, Chicago, Illinois",$ 1,"Listed On: Monday, December 24, 2012",Rifles,Marlin                                                                                ,45-70 Government                                                                                ,Lever Action                                                                                ,Rifle,"Looking to buy a Marlin 1895 in 45-70 without the button safety.

Please message me with what you have!

Thank you."
4,http://www.armslist.com/posts/749004,For Sale:  Kel-Tec KSG Shotgun,"Greenville, Greenville, South Carolina","$ 3,500","Listed On: Monday, December 24, 2012",Shotguns,no type,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Kel-Tec. KSG Shotgun New in box with kel-tec kydex cheek cover . Carlson comp enforcer. Button sling Mil-Spec Mega Latch double bungee single point sling. Plus a trijicon RMR - RM06 sight 3.25 MOA Red dot with adj brightness REDACTED 3,500 OBO  864-963"
5,http://www.armslist.com/posts/749005,For Sale:  snow,"Janesville, Janesville, Wisconsin",$ 10,"Listed On: Monday, December 24, 2012",Gun,no type,no type,no type,no type,snow
6,http://www.armslist.com/posts/749006,"For Trade:  AK47 75RND DRUM AND 30RND MAGAZINES (STREATOR,IL.)","STREATOR,IL., La Salle, Illinois",Offer,"Listed On: Monday, December 24, 2012",Magazines,no type,no type,no type,no type,I HAVE 6 METAL 30RND MAGS AND ONE POLY PRO-MAG FOR AK47'S AND A 75RND DRUM FOR THE AK AS WELL. LET ME KNOW WHAT YOU HAVE TO TRADE! CALL OR TEXT EIGHT 159920478.
8,http://www.armslist.com/posts/749008,Want To Buy:  S&W M&P 15-22 or Sig 522,"North Cincinnati, Cincinnati, Ohio",$ 1,"Listed On: Monday, December 24, 2012",Rifles,Smith & Wesson                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"Looking for an M&P 15-22 or Sig Sauer 522 22lr rifle.  Completely unmodified is great, or tastefully modified as long as the price isn't crazy.  Low round count preferred, but open to anything that is in excellent condition.  Send me a reasonable deal if you want to sell it.  I'd prefer to find a threaded barrel version of either....MOE version of the smith would be fantastic, any version of the sig would work.  

Cash in hand. Thanks"
9,http://www.armslist.com/posts/749009,For Sale:  1400 rounds of 7.62x39 - $8/box (40 cents/round),"Sparks, Reno, Nevada",$ 8,"Listed On: Friday, January 11, 2013",Ammo,no type,no type,no type,no type,"I have approximately 1400 rounds of new Wolf ammo, in boxes of 20 each. $8 per box.
Possible trade for .308 bolt action, .40 or .45 handgun, 7.62 AK or SKS variants"
10,http://www.armslist.com/posts/749010,For Sale:  Bushmaster ar 15 5.56,"Conway, Little Rock, Arkansas",$ 10,"Listed On: Monday, December 24, 2012",Rifles,Bushmaster                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,I
11,http://www.armslist.com/posts/749011,"For Trade:  AK47 Stock       Tapco ""Warsaw"" length","Catskill NY, Hudson Valley, New York",Offer,"Listed On: Saturday, January 5, 2013",Gun,no type,no type,no type,no type,"Im looking to trade my Tapco ""Warsaw"" length stock for a stock in ""Nato"" length or maybe a adjustable stock. Catskill NY 12451. Exit 21 off NYS Thruway"
12,http://www.armslist.com/posts/749012,For Sale:  LW15 polymer lower,"akron canton, Cleveland, Ohio",$ 1,"Listed On: Monday, December 24, 2012",Rifles,no type,no type,no type,Rifle,I have a LW15 polymer multi cal complete lower open to trades or cash. Email with offers.
13,http://www.armslist.com/posts/749013,For Sale:  PMC 5.56 XP193 55 gr FMJ 500rds,"sand springs, Tulsa, Oklahoma",$ 400,"Listed On: Monday, December 24, 2012",Ammo,no type,no type,no type,no type,"PMC X-TAC 5.56
500 rounds
55gr FMJ
XP193

call, text, or email n(even on christmas!!)
REDACTED
REDACTED"
