,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5006000,For Sale:  Lyman Turbo TS-6000 Sonic Cleaner,"Tacoma / JBLM, Tacoma, Washington",$ 200,"Listed On: Friday, January 1, 2016",Reloading,no type,no type,no type,no type,"Lighlty used Lyman Sonic Cleaner purchased from Cabelas.

http://www.cabelas.com/product/Lyman-Tu ... 313950.uts

used about 10 times.... no problems. Includes drain hose.

asking $200 or trade for reloading equipment (.30cal and 6mm/6.5mm projectiles, Redding 243 comp dies or 6.5 CM comp dies)

Located in Tacoma/JBLM area"
6,http://www.armslist.com/posts/5006006,For Sale:  Gsg -522 with 4 mags,"Hamilton mill, Atlanta, Georgia",$ 350,"Listed On: Thursday, December 31, 2015",Rifles,German Sport Guns                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"Selling my gsg -522 so I can get something smaller comes with 4 magazine's, fun rifle good for a female or young kid thanks for reading and happy new years."
11,http://www.armslist.com/posts/5006011,For Sale:  Lyman Turbo TS-6000 Sonic Cleaner,"Tacoma / JBLM, Tacoma, Washington",$ 200,"Listed On: Friday, January 1, 2016",Reloading,no type,no type,no type,no type,"Lighlty used Lyman Sonic Cleaner purchased from Cabelas.

http://www.cabelas.com/product/Lyman-Tu ... 313950.uts

used about 10 times.... no problems. Includes drain hose.

asking $200 or trade for reloading equipment (.30cal and 6mm/6.5mm projectiles, Redding 243 comp dies or 6.5 CM comp dies)

Located in Tacoma/JBLM area"
16,http://www.armslist.com/posts/5006016,For Sale:  Ruger Gunsite Scout,"knox/jeff co, Knoxville, Tennessee",$ 750,"Listed On: Thursday, December 31, 2015",Rifles,Ruger                                                                                ,308/7.62 NATO                                                                                ,no type,Rifle,"Ruger Gunsite in .308, I am not really interested in any trades for this as my truck needs tires in a bad way. The ONLY two things I would take in a trade would be a CZ 2075 RAMI or a CZ 97B, other than that I am good on rifles, pistols and shotguns. If I traded for one of those two, I would just slap the tires on a credit card. Call or text 865-22three-3zero28"
20,http://www.armslist.com/posts/5006020,For Sale:  Glock 19 Gen 4 w/Extras,"North Western Suburbs, Chicago, Illinois",$ 575,"Listed On: Thursday, December 31, 2015",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Classic and reliable Glock 19.
5 total mags including a 31 round mag.  
Easy loader and all the box comes with."
22,http://www.armslist.com/posts/5006022,For Trade:  Glock 34 Gen 4,"Vancouver wa, Southwest Washington, Washington",Offer,"Listed On: Tuesday, January 12, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19),no type,no type,"Like new
Case and 3 mags. Also backstraps
VANCOUVER WASHINGTON"
26,http://www.armslist.com/posts/5006026,For Sale:  KIMBER PRO CARRY II,"east nashville, Nashville, Tennessee",$ 750,"Listed On: Thursday, December 31, 2015",Handguns,Kimber                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"gun is in great shape, 1911  45acp. i replaced the PIA recoil spring set up with a wilson combat guide rod and spring so no more tools to break it down. only has 200 rounds fired. polished feed ramp. eats any ammo. NO TRADES. FTF in east nashville. 750.00"
29,http://www.armslist.com/posts/5006029,Want To Buy:  Ruger New Model Single 6 Convertable,"arden, Sacramento, California",$ 1,"Listed On: Friday, January 1, 2016",Handguns,Ruger                                                                                ,22 WMR                                                                                ,Single Action                                                                                ,Revolver,"Want to buy 22/22 mag, with 4 5/8"" barrel.
Must be in very good or better condition.

Contact Randy
REDACTED."
34,http://www.armslist.com/posts/5006034,For Sale/Trade:  Remington 870 Wingmaster 12 Gauge,"Bartlesville, Tulsa, Oklahoma",$ 300,"Listed On: Monday, January 25, 2016",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"This is an older Remington 870 Wingmaster 12 gauge. It has a 30"" modified fixed choke barrel. The wood is in great shape and still shines nice. It has a custom flat black coating on the barrel, receiver, and trigger group. Gives it a unique look that does nicely with the dark wood. However the person that applied the finish was not a professional. There are a few handling marks and one run in the coating. It is a great start to customizing it the way you want. It functions perfectly and flawlessly with a smooth action. I'm asking $300 for it since the finish isn't the best. I'm open to all firearm trades. Just let me know what you have to offer. Thanks."
35,http://www.armslist.com/posts/5006035,For Sale:  KIMBER PRO CARRY II,"east nashville, Nashville, Tennessee",$ 800,"Listed On: Friday, January 1, 2016",Handguns,Kimber                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"gun is in great shape, 45acp. i replaced the PIA recoil spring set up with a wilson combat guide rod and spring so no more tools to break it down. only has 200 rounds fired. polished feed ramp. eats any ammo. NO TRADES. FTF in east nashville. 800 OBO."
42,http://www.armslist.com/posts/5006042,For Sale:  Remington 1903 A3 sporterized Rifle 30-06: 375 obo,"NW Las Vegas, Las Vegas, Nevada",$ 375,"Listed On: Wednesday, January 20, 2016",Rifles,Remington                                                                                ,30-06 Springfield                                                                                ,Bolt Action                                                                                ,Rifle,"I am selling my Remington model 1903 A3. The rifle is in great condition, and all mechanics work perfectly. This gun has one of the smoothest bolts I have used and cycles flawlessly. The only flaws on the gun is a few small dings and a chip in the stock. I bought it as is with the intention of cleaning the stock up, but just never got around to it. The gun is a great shooter or a deer gun. The gun comes with the scope and box of ammo, but does not have a case. Email if you have any questions or want to make an offer. Must be willing to sign a bill of sales. Serious buyers only, no low ballers."
44,http://www.armslist.com/posts/5006044,For Sale:  NIB GLOCK 43  NEVER SHOT CASE AND LOCK MAG LOADER PAPERWORK,"Moraine, Dayton, Ohio",$ 500,"Listed On: Thursday, December 31, 2015",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,I have a brand new never fired glock 43.Has case lock all the paperwork glock mag loader.Call David REDACTED
54,http://www.armslist.com/posts/5006054,For Sale:  Smith & Wesson Model 19 66-1 Revolver,"North Western Suburbs, Chicago, Illinois",$ 650,"Listed On: Saturday, January 16, 2016",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"Classic Smith & Wesson precision. 357 Magnum Revolver with 4"" barrel and speed loader."
55,http://www.armslist.com/posts/5006055,"For Sale:  Very Nice, Well Maintained Rock River AR 15 AR1540","Cherry Creek, Denver, Colorado",$ 800,"Listed On: Friday, January 29, 2016",Rifles,Rock River Arms                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"This AR is in great shape and comes with everything in the pics. Call or text REDACTED for more information. Rock River Arms AR1540 Coyote Carbine 5.56 AR15 rifle. 16"" heavy barrel with Smith Vortex Flash hider. RRA two stage match trigger. Winter trigger guard. Hogue grip. RRA A2 operator stock."
59,http://www.armslist.com/posts/5006059,For Sale:  Saiga .308 package (unconverted),"West Racine, Racine, Wisconsin",$ 600,"Listed On: Thursday, December 31, 2015",Rifles,Saiga                                                                                ,308/7.62 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"The Saiga autoloading rifle is based on the rugged Kalashnikov design. In the Saiga line of rifles, this timeless design utilizes a proven gas piston system, rotary bolt, and very few internal parts that provide the reliability that Izhmash has delivered for over 60 years. A hammer forged, chrome lined barrel and chamber provide the ultimate in long life. The driftable post front sight with protective ears is adjustable for windage and elevation. The notched side catch with bar rear leaf sight is adjustable for elevation. The rear sight has presets for 109, 218, & 328 yards. The comfortable, ergonomic operating handle makes charging the firearm effortless. The spring loaded magazine release provides for quick magazine changes. The elongated selector handle allows for a smooth transition from safe to semi-auto. Includes three detachable 10rd magazines, action cover with scope mount, original cover, skeleton stock with cheek rest, original stock manual and hard case. Check out this link if you are unfamiliar with this riffle. https://www.youtube.com/watch?v=4l2-nXO27r4
Thank You For Looking!"
62,http://www.armslist.com/posts/5006062,For Sale:  Bnib HK 45 Tactical with ammo,"Melbourne, Florida, United States","$ 1,200","Listed On: Tuesday, March 15, 2016",Handguns,Heckler & Koch                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,Brand new in box hk 45 tactical. comes with 500 rounds of factory ammo(450fmj/50sd) $1200 FIRM! NO LESS! local ftf in melbourne area. No Trades! Thanks...
63,http://www.armslist.com/posts/5006063,For Sale:   4 Corners Concealment Navigator IWB adjustable cant Holster (G19),"Joliet, Chicago, Illinois",$ 40,"Listed On: Thursday, December 31, 2015",Holsters,no type,no type,no type,no type,"New never worn 4 Corners Concealment Navigator IWB adjustable cant Holster for a Glock 19. Adjustable cant (3 cant positions). Desert Tan. Pistol not included.

$40"
66,http://www.armslist.com/posts/5006066,For Sale:  1100 Remington 12 ga magnum left hand,"North, Nashville, Tennessee",$ 540,"Listed On: Thursday, March 3, 2016",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"Left hand magnum , rare gun butt stock has a couple of raised places next to butt plate , trade on smith Wesson (no plastic frame ) and colt"
69,http://www.armslist.com/posts/5006069,For Trade:  Kahr MK40 Elite 03 w/ extras,"Ann Arbor/Traverse city, Northern Lower Peninsula, Michigan",Offer,"Listed On: Tuesday, February 9, 2016",Handguns,Kahr                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"Rare & highly desirable elite 03 model. (NOT 98) Internals polished by kahr. Fewer than 100 rounds fired. Manufactured in 2014.(most elite models floating around are a decade or more old) Kahr elite pistols are their top of the line model with a phenomenal DAO trigger that blows other DAO triggers away including standard kahr MK triggers. Comes with stock mag, hogue jr & hardcase plus 5 extra mags of varying capacity (40$ each)  and 2 holsters 9( $80) that have all never been used. Spent over 450$ on these extras including the polish by kahr. I will not seperate anything, don't ask.CPL holders preferred Retail for all this was over $1300. My sale/trade value is 900$ FIRM. Will not respond to lower offers.------- I can meet near Ann Arbor or traverse city"
