,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5201000,For Sale/Trade:  Colt Commander,"nixa/republic, Springfield, Missouri",$ 800,"Listed On: Monday, February 22, 2016",Handguns,Colt                                                                                ,45 ACP                                                                                ,Single Action,no type,"I have a MINT condition Colt commander 1911 in 45ACP. I literally just got this gun but im going a different route. comes with 2 mags, hard case, all paperwork, and ammo. Trades welcomed"
2,http://www.armslist.com/posts/5201002,For Sale:  Browning Auto-5 Light Twelve 12 Gauge (COM1818),"Tennessee, Tennessee, United States","$ 1,200","Listed On: Monday, February 22, 2016",Shotguns,Browning                                                                                ,5.56×45mm NATO                                                                                ,Bolt Action                                                                                ,Shotgun,"Browning Auto-5 Light Twelve 12 Gauge shotgun. Rare Belgian made 2 Millionth Commemorative Auto-5, № 973 of 2500 made. A beautiful piece with factory case."
4,http://www.armslist.com/posts/5201004,"For Sale:  Remington 870 Express 12ga 3"", 28"" VR Barrel","Albuquerque, Albuquerque, New Mexico",$ 500,"Listed On: Monday, February 22, 2016",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Lever Action                                                                                ,Shotgun,"Super nice 870 Express with a 28"" VR barrel that takes Rem chokes. Has a nice bore and chamber. Features the Remington synthetic pistol grip stock and Hogue neoprene forend. Also features a fibre optic front bead device. The sling swivel studs are in place. This is a very nice recent production shotgun that is already to hunt."
5,http://www.armslist.com/posts/5201005,For Sale:  NEW M&P SPORT II,"jacksonville, Jacksonville, Florida",$ 600,"Listed On: Tuesday, March 22, 2016",Rifles,no type,no type,no type,no type,"Model:  M&P®15 SPORT™ II     Caliber:  5.56 mm NATO     Action:  Gas Operated Semi Auto     Capacity:  30+1 Rounds     Barrel Length:  16” (40.64 cm)     Front Sight:  Adj. A2 Post     Rear Sight:  Folding Magpul® MBUS®     Overall Length:  35.0” (88.90 cm) Extended, 32.0” (81.28 cm) Collapsed     Grip:  Polymer     Weight:  6.45 lbs. (2,925.7 g)     Barrel Material:  4140 Steel     Upper Material:  7075 T6     Lower Material:  Aluminum     Finish:  Matte Black"
6,http://www.armslist.com/posts/5201006,For Sale/Trade:  Century International Arms VZ-2008 Sporter - 7.62x39mm,"Lake Norman, Charlotte, North Carolina",$ 550,"Listed On: Monday, February 22, 2016",Rifles,Century International Arms                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"Here's a Century Arms VZ-2008 sporter rifle for sale/trade. It's a US built rifle using a Vz.58 parts kit, and is compatible with most Vz.58 accesories. It uses a striker-fired piston action inside a milled reciever, which is a pretty unusual on a rifle. Chambered in 7.62x39mm.Specifications:-5 30 round 7.62x39mm magazines-8 10 round 7.62x39mm stripper clips-Side folding Vz.58 stock-Polymer-impregnated wood forearm grip and pistol grip-Matching bayonet and sheath-Leather magazine pouch and strap-Elavation adjustable rear, windage adjustable front sights-Threaded barrel with AKM style slant compensatorBuyer must be willing to meet in or around the Charlotte area, face to face, and sign a bill of sale."
7,http://www.armslist.com/posts/5201007,For Sale:  Mosin nagant m44,"Centreville, Kalamazoo, Michigan",$ 350,"Listed On: Monday, February 22, 2016",Rifles,no type,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,This is a near perfect m44 mosin nagant it's dated stamped 1944 bore is perfect comes with all accessories I'm looking to trade for a pistol or a different modern rifle let me know what you have
8,http://www.armslist.com/posts/5201008,For Sale:  Mossberg 500 20ga shotgun,"Wilmington, Wilmington, North Carolina",$ 250,"Listed On: Monday, February 22, 2016",Shotguns,Mossberg                                                                                ,20 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,This is a Mossberg 500 20 ga. shotgun. It is pre-owned but in good shape amd working order. Please stop in and check it out!
9,http://www.armslist.com/posts/5201009,For Sale:  Taurus Curve,"Albuquerque, Albuquerque, New Mexico",$ 320,"Listed On: Saturday, March 5, 2016",Handguns,Taurus                                                                                ,380 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"Taurus | Curve - .380ACP | 1-180031Buy now at: http://www.calibersusa.com/taurus/taurus-curve-380acp-1REDACTED2 Your body has curves, so why aren't pistols shaped to match? That's precisely the question the Taurus engineering team challenged themselves to answer-and the results are unlike anything you’ve seen before. Introducing the Taurus Curve, the world's first and only curved firearm. Engineered to fit the unique contours of your body with no visible printing, the Curve is easily one of the most groundbreaking firearms ever conceived. An extreme departure from your typical compact .380, you'll find the Curve takes form and function to an entirely unprecedented level. With its patented, snag-free design, the Curve boasts the industry's first-ever light and laser built right into the frame. Exceptionally accurate and extremely lightweight at just 10.2 ounces, the Curve is one ultra-comfortable, ultra-reliable personal defense handgun. Specifications:    Caliber: .380 ACP Grips: Polymer Grips UPC: 7-25327-61150-9 Capacity: 6 +1 Weight: 10.2 oz Barrel Length: 2.5"" Height: 3.7"" Frame: Small Width: 1.18"" Action: DAO Length: 5.2"" Safety: Magazine Disconnect,Loaded Chamber Indicator"
10,http://www.armslist.com/posts/5201010,For Sale:  Brand New Glock 17 G17 Gen 4 9mm 10+1 Free Shipping,"Enfield, Hartford, Connecticut",$ 575,"Listed On: Monday, February 22, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,I have a brand new Glock 17 for sale. It's a Gen 4. Comes with three 10 round mags and everything else a new Glock comes with. CT buyers: CT pistol permit holders only. Item must be picked up in Enfield. All laws followed. $575 cash.Out of state buyers: Item can be shipped from my FFL to yours. I'll cover the shipping cost.Contact me to make arrangements.
12,http://www.armslist.com/posts/5201012,For Sale:  22/22mag revolver,"webberville, Lansing, Michigan",$ 1,"Listed On: Monday, February 29, 2016",Handguns,Heritage Manufacturer                                                                                ,22 Magnum                                                                                ,Single Action                                                                                ,Revolver,"Heritage 22/22mag. 2 cylinders. gun is new. very smooth action. 6.5"" barrel. $190.00."
