,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5003000,Want To Buy:  44 Magnum Short Barrel Revolver 3 inch or less,"Wichita, Wichita, Kansas",$ 800,"Listed On: Wednesday, December 30, 2015",Handguns,Ruger                                                                                ,no type,no type,Revolver,"Looking to buy 44 Magnum snub nose, stainless revolver. Consider all offers but prefer ruger Alaskan or s&w model 629"
1,http://www.armslist.com/posts/5003001,Want To Buy:  Glock 9mm,"minneapolis, Minneapolis / St. Paul, Minnesota",$ 1,"Listed On: Wednesday, December 30, 2015",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire,no type,"I'm currently in the market for a glock 9mm. Any gen, models 17 19 26
If you have an extra laying around and don't shoot any more please feel free to shoot me your offer.  Please don't expect me to pay 500 for your old gen 3.  I know Brand new g3 are gonna cost me around 520 and a G4 is around 550.  I'm looking to pay 450 or less pending condition.
Thanks fellow shooters and have a happy new year!"
2,http://www.armslist.com/posts/5003002,For Sale:  Winnchester M66 Rifle .38 Special Navy Arms Co.,"central phoenix, Phoenix, Arizona",$ 200,"Listed On: Wednesday, December 30, 2015",Rifles,Winchester                                                                                ,38 S&W Special                                                                                ,no type,Rifle,"Manufacturer: 	Winchester
Model: 	1903
Caliber: 	22 automatic
Barrel Length: 	20 inch
Capacity: 	1

Up for Auction we Have a WInchester 1903 Semi Auto in 22 Automatic caliber. This Rifle Dates as 1908 Year of Manufacture. Rifle has Curved butt plate. RIfle has Safety in the trigger guard. 20"" round barrel and Rear Takedown screw on Receiver. Serial number is on the Receiver and trigger group.(45856) Rifle has Lyman Adjustable Rear Flip up sight."
3,http://www.armslist.com/posts/5003003,For Sale:  S&W model 19 - 3,"Ashwaubenon,Wi, Green Bay, Wisconsin",$ 695,"Listed On: Wednesday, December 30, 2015",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"357 Magnum , was my fathers he bought it in 1972 . Gave it to me. I have to many pistol's I really don't need it. Pistol is in Great shape I'd say 97%, 6"" barrel, blued . Have original box it came in. Call 9two 0-655-8 five 48"
4,http://www.armslist.com/posts/5003004,Want To Buy:  Want to buy: glock 26 or 43 in louisville,"Louisville, Kentucky, United States",Offer,"Listed On: Wednesday, December 30, 2015",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Looking to buy a glock 26 or 43 in louisville. May consider a glock 27.   Cash in hand. Text REDACTED
5,http://www.armslist.com/posts/5003005,"For Sale:  Glock 23 (.40) Compact Gen 3, night sights, two holsters, original box, three mags.","Yelm, Washington, United States",$ 500,"Listed On: Wednesday, December 30, 2015",Handguns,Glock                                                                                ,40 cal                                                                                ,Striker Fire                                                                                ,Pistol,"Glock 23, with a few after market add-ons: extended slide release, punisher back plate, grip frame insert, stainless steel buffer rod, trijicon night sights.  Comes with box, 3mags, outside waistband holster and some ammo."
6,http://www.armslist.com/posts/5003006,For Sale:  Lonewolf Barrel,"Metro East, St. Louis, Missouri",$ 60,"Listed On: Friday, January 8, 2016",Gun,no type,no type,no type,no type,"Lonewolf Barrel for Glock 22 .40 cal. Great barrel for shooting cast bullets. Tighter tolerances than a stock Glock barrel. Drops right in, requires no gunsmithing."
7,http://www.armslist.com/posts/5003007,For Sale:  Used Smith & Wesson M&P 40C,"Grand Rapids, Grand Rapids, Michigan",$ 385,"Listed On: Tuesday, January 5, 2016",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,Single Action                                                                                ,Pistol,"Used Smith & Wesson M&P 40 C, .40S&W, extra back strap, 9 shot, 2 mags, 3.5 inch barrel Pistol."
9,http://www.armslist.com/posts/5003009,For Sale:  20ga shells,"S dayton, Dayton, Ohio",$ 70,"Listed On: Tuesday, January 5, 2016",Ammo,no type,no type,no type,no type,"I have 8 boxes of field loads for sale.  One box of 3""Remington #2 shot, one box of Remington 2.75"" #4 shot, four boxes of hunter 2.75""#4 shot and, two boxes of Charles Daly 2.75"" #6shot.   $70.00.   REDACTED."
10,http://www.armslist.com/posts/5003010,For Sale:  1940 Tula Mosin Nagant,"Albion, Michigan, United States",$ 600,"Listed On: Wednesday, December 30, 2015",Rifles,Century International Arms                                                                                ,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,"1940 Tula Mosin Nagant
Barrel conditioned with militec and original iron sights milled off.
Night Brake installed
Professional Bent Bolt
Timney Trigger.
Archangel Stock with 2 10rnd and 1 5rnd mag
Leapers 4-16x50 scope
Biopod
140 rounds of Herters 180grn sp brass non corrosive rounds.
This has been my favorite for a few years now. No corrosive ammo has been shot from this since I reworked it all 3 years ago. I can consistently hit 1 inch groups at 100 yards with this one. It has a very good bore.
$600 is firm. 
It is worth more than that.
Located in Albion"
12,http://www.armslist.com/posts/5003012,Want To Buy:  NAA NORTH AMERICAN ARMS REVOLVER,"central jersey, New Jersey, United States",Offer,"Listed On: Wednesday, December 30, 2015",Handguns,North American Arms                                                                                ,22 Long Rifle,no type,no type,I am looking for North American Arms 22lr revolver
14,http://www.armslist.com/posts/5003014,For Sale:  M1 Carbine magazine parts kit,"WESTMINSTER, Denver, Colorado",$ 1,"Listed On: Thursday, February 11, 2016",Magazines,no type,no type,no type,no type,"Four 30 round m1 carbine magazine parts kit.  I have 4 available in GI pouch.
$35/ea.

Four 15 round m1 carbine magazine parts kit.  I have 4 available in GI pouch.
$15/ea."
15,http://www.armslist.com/posts/5003015,For Sale:  .223 PMC Bronze,"Bellevue, Bellevue, Nebraska",$ 200,"Listed On: Monday, January 4, 2016",Ammo,no type,no type,no type,no type,PMC Bronze 223 55gr FMJ Ammunition 20rds have 32 boxes still in the box it was shipped in unopened. Asking $200 which is just over $6 a box with no tax or shipping. Pretty good deal.
