,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/5310001,For Sale/Trade:  FNS40,"Boaz, Gadsden, Alabama",$ 475,"Listed On: Friday, March 25, 2016",Handguns,FN Herstal S.A.                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,Night sights 3 mags brand new never fired would like to trade for glock 26 or sell $475
2,http://www.armslist.com/posts/5310002,For Sale/Trade:  Savage Axis 223 with Nikon Coyote Special trade for 243,"Ridgeville, Muncie, Indiana",$ 450,"Listed On: Saturday, March 26, 2016",Rifles,Savage Arms                                                                                ,223/5.56 NATO                                                                                ,Bolt Action                                                                                ,Rifle,"Savage Axis in 223 with a Nikon Coyote Special, very nice and accurate gun with a nice trigger pull. Approximately 100 rounds through it. Light scratches on the synthetic stock, scope has the BDC retical. Sighted in at 100 yards. Can do some traveling to make a deal"
3,http://www.armslist.com/posts/5310003,For Sale:  Colt 6940,"Atascocita, Houston, Texas",FREE,"Listed On: Friday, March 25, 2016",Rifles,Colt                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Mint condition Colt 6940 with Vortex Crossfire 3-9x40 and CAA Flashlight Holder Grip.  The rifle is in great shape has less than 100 rounds through it.
Looking to trade for a Tavor, Sig MCX, Sig MPX Carbine, Bren Pistol, Mark 23, USP Tactical+Cash, or Savage 110 BA
Only looking to trade at this time, so not looking for a cash deal.
Please email trade offers."
4,http://www.armslist.com/posts/5310004,For Sale:  Raven Concealment Eidolon  for Glock 19,"Southside, Indianapolis, Indiana",$ 75,"Listed On: Friday, March 25, 2016",Holsters,no type,no type,no type,no type,"I have a brand new raven concealment eidolon holster for the glock 19. This is the open end model that can also accommodate a glock 17. This is the right handed kit that comes with the claw and wedge, retails for  $95. I sold my 19 so i don't need it. Thank you"
5,http://www.armslist.com/posts/5310005,For Sale/Trade:  7N6,"Colorado springs, Colorado Springs, Colorado",$ 80,"Listed On: Friday, March 25, 2016",Ammo,no type,no type,no type,no type,290rds of 7n6 slight corrosion can be cleaned.  80 obo
6,http://www.armslist.com/posts/5310006,For Trade:  Ruger SR1911,"Kalamazoo, Kalamazoo, Michigan",Offer,"Listed On: Friday, March 25, 2016",Handguns,Ruger                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"I am Looking to trade my Ruger SR1911 Talo Edition. This pistol has been good for me but I don't need it. It has only seen somewhere between 100-200 rounds. It comes with two sets of grips. the originals and a set of magpul grips. I am looking to trade only for a Sig P227, Tacops or original version. This is the ONLY thing I would consider trading towards. If you have one and want to trade let me know. I can ship to you wherever you are through a FFL. Email me, call or txt REDACTED"
7,http://www.armslist.com/posts/5310007,For Sale/Trade:  Sig P227 LNITB,"Lake In The Hills ( Mchenry Area by I-90 ), Chicago, Illinois",$ 800,"Listed On: Wednesday, April 20, 2016",Handguns,Sig Sauer                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,For Sale is a Sig P227 like new in the box less then 100rd rds thru it . require 4473 and waitting period etc.. Price is firm but fair for basically new Sig.
8,http://www.armslist.com/posts/5310008,For Sale:  Ak47  FA CUGIR M10  price drop,"Topeka, Topeka, Kansas",$ 650,"Listed On: Friday, April 15, 2016",Rifles,no type,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,This 7.62x39 is being sold to buy another rifle. Used very good condition. Comes with 3 stocks and 2 tapco mags. 16.5 inch barrel shoots reliably I'm just onto different ventures. Manufactured my m&m industeriesREDACTED. Cash or trade
9,http://www.armslist.com/posts/5310009,For Sale/Trade:  Remington 700 Tactical- Leupold Mark 4,"Broken Arrow, Tulsa, Oklahoma",$ 0,"Listed On: Friday, March 25, 2016",Rifles,Remington                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,Remington 700 tactical 308. Comes with Leupold Mark 4 Mildot scope 8.5-25x50. It's sitting in a HS precision stock. Upgrades and extras with it. Will consider trades.
10,http://www.armslist.com/posts/5310010,For Sale/Trade:  Smith and Wesson M&P9 talo edition for trade,"kalamazoo, Kalamazoo, Michigan",$ 500,"Listed On: Friday, April 1, 2016",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"full size mp9 talo edition, nickle boron slide and barrel. looking to trade. good condition. I have the case 2 mags and a sticky holster with itsig sauerh&kglockkimber"
11,http://www.armslist.com/posts/5310011,For Sale:  Harding Pelican mobile armory case,"Sachse, Dallas, Texas",$ 300,"Listed On: Friday, March 25, 2016",Gun,no type,no type,no type,no type,Hardigg Pelican Mobile Military Armory 472-M4-M16-12 rife case. This is a very heavy duty rifle case and will hold 12 Ar15 style rifles. The case is 44x24x18.It has 1 pressure relied humidity indicator valve and 14 latches. All latches are complete and in working order. The price is firm at $300. I will not ship. It will need to be picked up in Sachse or I will mee you at Firewheel Mall in Garland. I'm not really wanting to trade but will entertain trades but they will need to be valued at $400.
12,http://www.armslist.com/posts/5310012,For Sale:  Glock 23,"S dayton, Dayton, Ohio",FREE,"Listed On: Friday, April 1, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"about 2years old, original owner. Shot around 300rounds.  Great looking gun. Selling to dave Ramsey my bills. Text cash offer to REDACTED before 9:00pm"
13,http://www.armslist.com/posts/5310013,For Sale:  BNIP Heckler & Koch VP9,"Downtown Dallas, Dallas, Texas",$ 600,"Listed On: Friday, March 25, 2016",Handguns,Heckler & Koch                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Brand new, unfired, Heckler & Koch VP9. 9mm. Includes two 15-round magazines, customizable grip panels, original box, sticker, paperwork, etc. This is the standard version with the standard glow-in-the-dark sights, not tritium sights. Price is FIRM, cash only, no trades. Buyer must pickup in the City of Dallas near Lake Highlands Drive @ Peavy Road. Buyer must present a valid Texas ID and sign a bill of sale. Text REDACTED"
14,http://www.armslist.com/posts/5310014,For Sale:  Springfield mod. 56 22 LR. Bolt action,"Ruch, Medford, Oregon",$ 150,"Listed On: Saturday, July 9, 2016",Rifles,Springfield                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,Gun shoots fine. Some one has scratched in a s.s. # or something into it. Also needs a ramp for the rear sight a few dollars at most repair shops.I bought a new magazine for it. I paid $30 for it.
15,http://www.armslist.com/posts/5310015,For Sale/Trade:  Glock 34 9mm Gen 3,"Harrisburg Rd, Charlotte, North Carolina",$ 650,"Listed On: Friday, March 25, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,"Up for sale/trade is a nice Glock 34 9mm Gen 3 that is like new.  It has not been modified and comes with the original case, 2 mags, and holster.  I'm asking $650 or trade for a dirtbike.  I will consider other trade offers also just email or text me at 704sevenseven381two7.Thanks... Dustin"
16,http://www.armslist.com/posts/5310016,For Sale:  BCM Bravo Company 14.5,"Corbin, Kentucky, United States","$ 1,100","Listed On: Friday, March 25, 2016",Rifles,Bravo Company USA                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I have a BCM 14.5 rifle. Mid-length gas system and a CHF barrel with a 1:7 twist. It has a pinned Mod 1 comp, ALG defense trigger, KNS anti-roll trigger pins, BCM sling mount, BCM MOD 0 grip, BCM vertical grip MOD 3, BCM­ keymod rail panel, AXTS ambi charging handle, 13in KMR rail, 1:7 twist lightweight barrel, magpul MBUS Pro front and rear sights W/Blitzkrieg components front sight post. The gun has about 600 rounds through it. It's been cleaned after every time it's shot. It does have a few scratches from taking it hiking and camping but doesn't affect the rifle. It comes with one BCM brand 30 round magazine. I have more pics of the rifle if you are interested email me. Not interested in trading. Will ship if i need to."
17,http://www.armslist.com/posts/5310017,Want To Buy:  WTB Grey Frame Black slide Gen 4 Glock 19,"North of Columbia, Columbia, Missouri",Offer,"Listed On: Friday, March 25, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Looking for a new or unfired Factory Grey Frame Black Slide Glock 19.  Not looking for anything cerakoted, Painted, or altered in any way from the way it left the factory. Also not interested in the Vickers edition.  Thanks for looking."
