,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/1807001,For Sale:  S&W 411 .40 cal,"Hamilton, Kansas City, Missouri",$ 425,"Listed On: Saturday, August 31, 2013",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"PrIce Reduced!!
Hard to let go.  Looking to sell this Smith & Wesson 411.  Included in the sale is the pistol in excellent condition, two magazines (one 10 round and one 11 round) and a holster (shown).  This was built before Smith & Wesson starting using polymer frames.  It has a blackened stainless steel slide on an aluminum frame.  Never had a misfire or stovepipe.  Cycles flawlessly.  If interested I will throw in 200 rounds of HMS hp ammo for an extra $85.  I am firm on the price so please no low balls."
3,http://www.armslist.com/posts/1807003,For Sale:  Smith and Wesson AR15 M&P-15 .223/556 NATO,"Birmingham, Birmingham, Alabama","$ 1,500","Listed On: Tuesday, June 25, 2013",Rifles,Smith & Wesson                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Brand new in box. Never fired. Throwing in a handle/sight and a new 20 round Magpul magazine. 

Call or text: REDACTED
Email: REDACTED"
4,http://www.armslist.com/posts/1807004,For Sale:  Walther P22,"South/fountain, Colorado Springs, Colorado",$ 360,"Listed On: Tuesday, June 25, 2013",Handguns,Walther                                                                                ,no type,Double / Single Action                                                                                ,Pistol,"Walther P22, imported by S&W made in Germany. Comes with two magazines and all factory items. 

Asking $360 FTF in Colorado Springs. 21+ Must have ColoradoID to verify residency. Ad will be pulled on 30June. Deal must be done prior to 1July 2013."
5,http://www.armslist.com/posts/1807005,For Sale:  Reloading bullets,"sacramento roseville, Sacramento, California",FREE,"Listed On: Tuesday, June 25, 2013",Ammo,no type,no type,no type,no type,"9mm 125 gr Truncated Cone Bullet. $50 for 500 rds.
40 s&w 180gr Truncated Cone Bullet $60 for 500 rds.
44 sp or 44 mag 200 gr Flat Nose $70 for 500 rds.
44 sp or 44 mag 240 gr Semi-Wadcutter $75 for 500 rds.
All bullets lubed with best lube on the market and sized.

Call REDACTED. Thanks!

Sacramento/Roseville area"
6,http://www.armslist.com/posts/1807006,For Sale:  22 .LR AMMO - 240 Rounds,"Portland, Portland, Oregon",$ 10,"Listed On: Tuesday, July 2, 2013",Ammo,no type,no type,no type,no type,"Selling various kinds of 22 ammo.  240 rounds.  Cash only, no trades.  Not using this anymore so I'm just looking to get rid of it."
7,http://www.armslist.com/posts/1807007,"For Trade:  Ft/ romainian ak47 7.62x39 for quad,dirtbikes,handguns,gaming laptop","East indy, Indianapolis, Indiana",Offer,"Listed On: Tuesday, June 25, 2013",Rifles,no type,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"The gun comes with two 30rd mags a removable scope, adjustable stock all plastics in it are tapco and 80 rounds 
Text or email with offers 765twothree886one three. Thanks"
8,http://www.armslist.com/posts/1807008,For Sale:  Sig Sauer P226 Scorpion 9mm Nights SRT 226 - NIB,"80916, Colorado Springs, Colorado",$ 999,"Listed On: Monday, July 1, 2013",Handguns,Sig Sauer                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"NIB Elite Series Sig Sauer P226 Scorpion 9mm w/Night Sights, SRT, G10 Grips, 2 Magazines

$999 Out the door!! ($1285 MSRP)

Specs:

Item Number:	 E26R-9-SCPN
Caliber:	         9mm
Action Type:	 DA/SA
Trigger Pull DA:   10.0 lbs
Trigger Pull SA:	 4.4 lbs
Overall Length:	 8.2 in
Overall Height:	 5.5 in
Overall Width:	 1.6 in
Barrel Length:	 4.4 in
Sight Radius:	 6.3 in
Weight w/Mag:	 34.0 oz
Mag Capacity:	 15 Rounds
Sights:	         SIGLITE® Night Sights
Grips:	                 Hogue Extreme G-10 Grips
Frame Finish:	 Flat Dark Earth Finish
Slide Finish: 	 Flat Dark Earth Finish
Accessory Rai:l	 Yes
Features:    	 Flat Dark Earth Finish, Hogue Extreme G-10 Grips, SRT™ - Short Reset Trigger."
9,http://www.armslist.com/posts/1807009,For Sale:  phoenix LED work lights,"greenfield, Milwaukee, Wisconsin",$ 250,"Listed On: Tuesday, June 25, 2013",Miscellaneous,no type,no type,no type,no type,"Two Phoenix LED work lights. Super bright, consume very little power and will last a lifetime! Model # DLP-FLEX-LED-16-42-YEL, I have just over $350 into each unit and they both have less than 10 hours of use. Only selling to purchase a couple different units as I went a little crazy and got two more than I need of this type... If you would like to come see them I recommend it be during the evening as they are pretty impressive! $250 O.B.O. EACH Dan @ 414-four29-3813"
10,http://www.armslist.com/posts/1807010,For Sale:  Metro Arms American Classic II 1911 .45 acp Pistol Stainless/Black,"Loveland, Fort Collins, Colorado",$ 425,"Listed On: Wednesday, July 17, 2013",Handguns,no type,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"FOUNDATION PAWN 
1121 E Eisenhower 
Loveland 
m-f 9-5
REDACTED"
11,http://www.armslist.com/posts/1807011,For Sale:  New Unopen Box Federal 22LR 325rds 40gr Solid RN Target Grade 35.00,"Pearl, Jackson, Mississippi",$ 35,"Listed On: Tuesday, June 25, 2013",Ammo,no type,no type,no type,no type,"New Unopen Box Federal 22LR 325rds 40gr Solid RN Target Grade 35.00 
REDACTED"
