,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/1813000,For Sale:  DPMS .308 AR w/timmney trigger and extras,"Fayetteville, Northern Virginia, Virginia",$ 1,"Listed On: Wednesday, June 26, 2013",Rifles,DPMS                                                                                ,308/7.62 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"DPMS .308 w/timmney trigger, flip up sights. Magpul stock, upgraded flash suppressor, bipod, ergo rails, ergo grip, good sling. $2,200. OBO

In NC."
1,http://www.armslist.com/posts/1813001,For Sale:  Palmetto State Armory AR15,"Atlanta, Atlanta, Georgia","$ 1,100","Listed On: Wednesday, June 26, 2013",Rifles,Palmetto State Armory                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Brand new PSA 15 in box. Never fired. Purchased rifle less than one month ago, decided I want an AK47. Priced to sell as quickly as possible! 
-Magpul MOE Grip, unopened in packaging
-1 New Windowed PMAG GEN2
-Magpul Rear Flip Up Sight
-1 Metal Mag
Everything is BRAND NEW, UNUSED.

Feel free to contact me with any questions."
3,http://www.armslist.com/posts/1813003,For Sale:  RCBS 2-Die Set 30-06 Springfield,"Hebron, Northern Kentucky, Kentucky",$ 27,"Listed On: Tuesday, August 20, 2013",Ammo,no type,no type,no type,no type,Set includes a full length sizer die has an expander-decapping unit to remove the spent primer while expanding the case mouth.
4,http://www.armslist.com/posts/1813004,For Sale/Trade:  Ruger GP100 6 inch barrel .357 Mag,"Marshall, Asheville, North Carolina",$ 500,"Listed On: Wednesday, June 26, 2013",Handguns,Ruger                                                                                ,no type,Double Action                                                                                ,Pistol,"Ruger GP100 6 inch barrel .357 Mag. Minor marks, normal ware. Smooth action. Good shooting Gun. Comes with a Viking leather holster. Gun and holster only, no box. Will add cash for a good quality automatic like Sig, S&W, Kimber."
5,http://www.armslist.com/posts/1813005,For Sale:  PRICE REDUCED TO SELL: Remington Model 700 25-06 Bull Barrel,"North Coast, Oregon Coast, Oregon","$ 1,000","Listed On: Wednesday, June 26, 2013",Rifles,Remington                                                                                ,25-06 Remington                                                                                ,Bolt Action                                                                                ,Rifle,"Remington Model 700 25-06 Bull Barrel comes with a Leupold VX3 3.5-10x40mm

Reduced to sell quickly, need funds for another purchase. $1000 firm"
6,http://www.armslist.com/posts/1813006,For Trade:  Glock 17 gen 3,"columbus, Columbus, Ohio",Offer,"Listed On: Wednesday, June 26, 2013",Handguns,Glock                                                                                ,9mm Luger (9x19),no type,no type,I have a Glock 17 gen 3 150 rounds through gun comes with 2 Mags case papers lock gun was manufactured 2013 would like to trade or would sale for $450 firm
7,http://www.armslist.com/posts/1813007,For Sale:  Glock 22 Compensated,"West, Knoxville, Tennessee",$ 500,"Listed On: Wednesday, June 26, 2013",Handguns,Glock                                                                                ,40 S&W,no type,no type,Up for sale is a near mint condition Glock 22 Compensated. This gun is awesome.$500 865-3two3-2nine02
8,http://www.armslist.com/posts/1813008,For Sale/Trade:  1994 jeep grand Cherokee,"Se, Oklahoma City, Oklahoma","$ 2,000","Listed On: Monday, July 8, 2013",Vehicles,no type,no type,no type,no type,"219k 4.0 auto 4x4 runs drives great cold ac heat works power leather seats pw tilt cruise 
Recently replaced , battery , alt ,belt, harmonic balancer,oil sending unit,front axle outer boot,rear brakes,rear u joint, rear outer axle bearing , no check engine lights  no problems 
Everything works except for the power lock switch recently went out new limo tint all the way around . I still drive the jeep every now and then so milage will go up  I am interested in partial trades for guns I like 1911 pistols ar akm some rifles just hmu txt REDACTED"
9,http://www.armslist.com/posts/1813009,For Sale:  Remington 550-1 Semi-auto .22 Rifle,"McPherson, KS, Kansas, United States",$ 200,"Listed On: Wednesday, June 26, 2013",Rifles,Remington                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"1950's Remington 550-1 .22
very good condition"
10,http://www.armslist.com/posts/1813010,For Sale/Trade:  550rds of 115gr 9mm FMJ target ammo,"Lakewood/Tacoma, Washington, United States",$ 150,"Listed On: Tuesday, July 9, 2013",Ammo,no type,no type,no type,no type,"Specs are in the title. The brand is HTM BVAC. Ammo can included. What else do you need to know?  If you have questions send me a message. 
Price is firm!

*You must meet me in the Lakewood/Tacoma area
**If you are reading this then its still available."
12,http://www.armslist.com/posts/1813012,For Trade:  1983 Harley Sportster 1000,"Most anywhere, Arkansas, United States",Offer,"Listed On: Wednesday, June 26, 2013",Vehicles,no type,no type,no type,no type,"Very cool classic Harley. Located in Dallas, TX. Looking to trade for land I can park a trailer on. Email me and mention armslist trade, I have pics and can tell u all about the bike. Thanks."
13,http://www.armslist.com/posts/1813013,For Sale:  Remington 1100 LT20 LT-20 20 gauge semi automatic EXCELLENT,"Southern Erie County - Edinboro, Erie, Pennsylvania","$ 1,200","Listed On: Thursday, November 14, 2013",Shotguns,Remington                                                                                ,20 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"20 GAUGE SEMI-AUTOMATIC

Will update pictures during the week of NOV 10, 2013

High gloss walnut with Fleur Di Lis checkering.

High gloss bluing.

28"" vent rib RemChoke barrel 2 3/4""

Beautiful scrolling on receiver & bolt.

Includes 4 choke tubes, Skeet, I/C, Mod & Full.

I am the 2nd owner, purchased it this year and I have yet to fire it.  Originally purchased between late 80's - early 90's.

Contact me via Armslist messaging or call or text message REDACTED

This shotgun is as close to new as you are going to find. Does not have original box.   I can easily UPS it to your FFL or you can meet me or we can meet for FFL xfer.

$1200 or best offer.  It is the NICEST on Gun Broker it will sell for this amount."
14,http://www.armslist.com/posts/1813014,For Sale:  Bullet Proof Vest,"chicago/elmwood, Chicago, Illinois",$ 600,"Listed On: Wednesday, June 26, 2013",Handguns,no type,no type,no type,no type,"model cIII A-2 stage 3 with outer carrier and two extra trauma plates, only six months old has life until june of 2017REDACTED) clean serial number"
15,http://www.armslist.com/posts/1813015,For Sale:  Sig Sauer P250C,"cincinnati, Cincinnati, Ohio",$ 500,"Listed On: Wednesday, June 26, 2013",Handguns,Sig Sauer                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"I am selling my Sig Sauer P250 compact in 9MM. It is two tone stainless slide and has night sights that are very bright three dot and comes with two 15 round magazines case,manual and lock. This gun is in excellent condition with very low round count. I am asking $500.00 O.B.O. cash only ftf local only and ccw permit holder prefer. Please call me at home REDACTED or on my cell REDACTED ask for Jeff"
18,http://www.armslist.com/posts/1813018,For Sale:  Lee Safety Magnetic Powder Scale 100 Grain Capacity,"Hebron, Northern Kentucky, Kentucky",$ 10,"Listed On: Monday, July 15, 2013",Ammo,no type,no type,no type,no type,"The scale is NIB.  It has never been used, it is probably 10 years old though.  Good beginner scale."
19,http://www.armslist.com/posts/1813019,For Sale:  ***DPMS AR-15 223. / 556. stainless steel barrel w/ lots of attachments,"grants pass, Medford, Oregon","$ 1,999","Listed On: Wednesday, June 26, 2013",Rifles,DPMS                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"manufacture: DPMS chambered in 223/556 cal equipped with a 

4 piece rail mount , archangel for grip ncstar taclight , back up iron sites, red dot and laser and for mags 

Potential buyer must be legal to purchase under federal statutes (18+), and a resident of Oregon (must have ID). I will only sell in person, cash , buyer has to fill out a bill of sale for own personal records (will not be filed or anything like that) just to prove ownership is no longer mine if rifle were to be used inappropriately in the future. No trades. Price is firm. *****1,199%*****"
20,http://www.armslist.com/posts/1813020,For Sale/Trade:  Gun Cabinet,"central, Denver, Colorado",$ 0,"Listed On: Saturday, September 21, 2013",Miscellaneous,no type,no type,no type,no type,"Wood gun cabinet, large'ish (9 gun) pretty good condition...


Open to offers any offer or trade I need to clear the space TODAY-
Moving next week, like I said priced to go but open to trades as well (Ammo, cash, partial trade credit towards what you have)... 

No offer goes unconsidered! 


*Note you must be able to pick up, just sold my truck..."
