,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/6828000,For Sale:  Grey Springfield XDS,"Jacksonville, Jacksonville, North Carolina",$ 375,"Listed On: Thursday, May 18, 2017",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"I have a Springfield XDS 3.3 with 75 rounds down range. The gun comes with three 7 round and three 8 round magazines, OWB Springfield holster, and the original box. If you have any interest you will need to provide a NC CCP or a purchase permit which I will keep. All laws will be followed. I will provide a bill of sale. For a faster response or any questions you can text me at 910, nine one five, five three 77."
1,http://www.armslist.com/posts/6828001,For Sale:  Browning A-bolt stock,"Portland, Portland, Oregon",$ 100,"Listed On: Saturday, May 13, 2017",Gun,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Browning A-bolt walnut (medallion) stock, with buttpad. For a short action rifle.Stock came off of 300wsm."
3,http://www.armslist.com/posts/6828003,For Sale:  encore pkg 30-06 and 223,"parrish/palmetto, Tampa/St. Pete, Florida","$ 1,050","Listed On: Saturday, May 13, 2017",Rifles,Thompson Center                                                                                ,30-06 Springfield                                                                                ,Break Open                                                                                ,Rifle,encore frame with 26 inch pro hunter 30-06 fluted barrel with weaver micro trac vII 2.5-7 scope also bergara threaded 16 inch 223 barrel with nikko sterling 1.25x5 sciope--synthetic furniture --6 boxes win super x 150g ammo $1050 trades considered
4,http://www.armslist.com/posts/6828004,For Sale:  SD40,"Southside, Jacksonville, Florida",$ 220,"Listed On: Saturday, May 13, 2017",Handguns,Smith & Wesson                                                                                ,40 cal                                                                                ,Single Action                                                                                ,Pistol,"sd40 for sale, rarely used comes with 3 magazines and a box of ammo"
6,http://www.armslist.com/posts/6828006,For Sale/Trade:  Fn,"N winston, Winston Salem, North Carolina",$ 500,"Listed On: Wednesday, May 24, 2017",Handguns,no type,no type,no type,no type,fn   Fns9 night sites 5 17rd mags low round count
7,http://www.armslist.com/posts/6828007,For Sale:  Winchester 18 gun safe,"Jacksonville, Jacksonville, North Carolina",$ 375,"Listed On: Saturday, May 13, 2017",Gun,no type,no type,no type,no type,Winchester gun safe. Model TS-15. 18 gun capacity. Fireproof at 1200 degrees for 30 minutes. Weighs roughly 300 pounds. Can not deliver. But can help move it into truck.
8,http://www.armslist.com/posts/6828008,For Sale:  BNIB Taurus pocket pistol,"Virginia Beach, Hampton Roads, Virginia",$ 300,"Listed On: Saturday, May 13, 2017",Handguns,Taurus                                                                                ,no type,Single Shot                                                                                ,Pistol,TCP 738 brand new in box and a box of 380 fmj for target shooting comes with everything from the factory plus one year of NRA membership.
11,http://www.armslist.com/posts/6828011,"For Sale:  7.62x39"" sks"" tapco AK CLONE","Southside, Indianapolis, Indiana",$ 750,"Listed On: Saturday, May 13, 2017",Rifles,Norinco                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,750 price is firm 7.62x39 ak47 round riflleVery very very clean 3 extra magazines120 rounds of ammoRed dot sightExtra long mag extension Not installed New in packagePlus rifle case
12,http://www.armslist.com/posts/6828012,For Sale/Trade:  CVA 50 cal double barrel good shape throw me an offer,"Decatur, Huntsville, Alabama",$ 500,"Listed On: Saturday, May 13, 2017",Muzzle,Connecticut Valley Arms                                                                                ,50 Black Powder                                                                                ,Semi-automatic                                                                                ,Muzzle Loader,"Connecticut valley arms 50cal double barrel. I got in in on a trade for a trailer I had, I have no expertise with black powder whatsoever so I haven't shot it. Looks good and everything seems to be fine on it. Rare gun from what I've found. Throw me a fair offer if your interested, trades will be considered."
13,http://www.armslist.com/posts/6828013,For Sale:  FN AMERICA FNS COMPACT SERIES - 9MM - BATTLE GRAY SLIDE,"Bolivar, Springfield, Missouri",$ 499,"Listed On: Saturday, December 2, 2017",Handguns,FN Herstal S.A.                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"Hobbytime Motorsports-Firearms SalesBolivar, MissouriFN AMERICA FNS COMPACT SERIES - 9MM - BATTLE GRAY SLIDE•DA •Striker-fired autoloader •5.5 to 7.7 lbs. trigger pull •SS cold hammer-forged barrel •Polished chamber & feed ramp •SS slide •External extractor; loaded chamber indicator •Front & rear cocking serrations •Snag-free controls for comfortable concealment & faster draw •Polymer frame w/ replaceable steel frame/slide rails •(2) interchangeable backstraps w/lanyard eyelets •Accessory mounting rail •Serrated trigger guard •Fixed 3-Dot sights •Ambidextrous controls •(1) 12 rnd. mag & (1) 17 rnd. mag•OAL: 6.7’’ •Wt.: 23.4 oz. (9mm); 25.8 oz. (.40 S&W)•Black frame•No manual safety•Barrel length: 3.6"""
