,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/6688000,For Trade:  Smith and Wesson shield 40,"Aviston, St. Louis, Illinois",Offer,"Listed On: Saturday, April 8, 2017",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,I have a shield 40 that I am looking to trade for a shield 9mm. It's in great shape only been to the range twice. May take trades on other firearms just let me know what you have.
1,http://www.armslist.com/posts/6688001,"For Sale/Trade:  Ar-15  Spikes Tactical, BCM, Acog","Maryville, Knoxville, Tennessee","$ 2,700","Listed On: Thursday, May 25, 2017",Rifles,Smith & Wesson                                                                                ,223/5.56 NATO                                                                                ,Striker Fire                                                                                ,Rifle,"I'm listing my ar-15 for sale or trade.  It's on a Spikes Tactical Crusader lower with Spikes lpk, buffer tube and T2 buffer and Magpul B.A.D lever.  Upper is BCM enhanced lightweight 16"" upper with 15"" keymod rail. Has nickel boron bcg with BCM gunfighter charging handle.  Also has a magpul UBR stock.  Has a Trijicon Acog w/ RMR on a Larue quick release mount on top.   has green chevron reticle and super bright. Less than 30 rounds fired through it.  Will include 5 pmags still in packaging also.  Asking  $2700.  Not in any hurry to sell so lowball offers will be ignored.   Also open to trades, multi gun trades, or trade w/ boot.  Reply to ad or text at REDACTED.  No calls please.  Thanks for viewing."
2,http://www.armslist.com/posts/6688002,"For Sale:  CSC ARMS ""WARRIOR""","tennessee, Tennessee, United States",$ 925,"Listed On: Saturday, April 8, 2017",Handguns,Calico Weapons Systems                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"CSC ARMS ""WARRIOR"" 1911 .45ACP. Government size 5.0"" Full stainless made out of 416 stainless steel. CSC front and rear serrations. CSC 5.0"" 416 stainless barrel. CSC comp trigger with 3.5lbs trigger work. XS night sights. Frame is 25LPI and mainspring housing is also 25LPI. Slide flat are polished."
3,http://www.armslist.com/posts/6688003,For Sale:  M&P 15,"ft jennings, Lima, Ohio","$ 1,200","Listed On: Saturday, April 8, 2017",Rifles,Smith & Wesson                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"M&P 15 with bipod, Redfield Battlezone scope, Truglow red dot sight, case, 1 10 round mag and 5 30 round mags plus several hundred rounds of 5.56 and .223 ammo. Rifle has only had a hundred rounds or so fired from it. Execelant condition."
6,http://www.armslist.com/posts/6688006,For Sale/Trade:  Compact XD9 *PRICE REDUCED*,"Near Lynchburg, Lynchburg, Virginia",$ 400,"Listed On: Saturday, April 8, 2017",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Got a Springfield XD9 Compact with case, holster and 3 mags. Looking to trade to other 9mm handguns or sell asking $400. Pls email or text 804926904eight"
7,http://www.armslist.com/posts/6688007,For Sale:  MARLIN 1895GS  PORTED JM BARREL  45-70,"Elkhorn, Milwaukee, Wisconsin","$ 1,000","Listed On: Saturday, April 8, 2017",Rifles,Marlin                                                                                ,45-70 Government                                                                                ,Lever Action                                                                                ,Rifle,"ANY BODY THAT COLLECTS MARLINS KNOWS HOW RARE THIS RIFLE IS. IT HAS THE 99 SERIAL NUMBER AND THE FACTORY PORTED BARREL.
THEY ONLY MADE THESE IN STAINLESS WITH THE PORTED BARREL FOR ONE YEAR ! THIS RIFLE IS IN EXCELLENT CONDITION AND HAS $300.00 BROCKMANS SIGHTS.
I ALSO HAVE THE ORIGINAL SIGHTS AS WELL. $1000.00 WITH OUT THE BROCKMANS OR $1200.00 WITH.
THIS RIFLE IS VERY ACCURATE WITH HORNADY AMMO AND THE SIGHTS.  REDACTED"
8,http://www.armslist.com/posts/6688008,For Sale/Trade:  Ruger Super Blackhawk,"Garland, Dallas, Texas",$ 700,"Listed On: Saturday, April 8, 2017",Handguns,Ruger                                                                                ,44 Magnum                                                                                ,Single Action                                                                                ,Revolver,"Brand new unfired Ruger Super Blackhawk in .44 mag, still in box with all original paperwork and a box of shells. Looking to trade for something else. Not entirely sure what I want, but 1911's, lever actions and AR's do peak my interest but it's not limited to just that. Let me know what you've got"
9,http://www.armslist.com/posts/6688009,For Sale/Trade:  New PISTON Driven AR 15,"Powell, Knoxville, Tennessee",$ 800,"Listed On: Friday, April 14, 2017",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Single Action                                                                                ,Rifle,"Ordered this gun New a few months ago.These guns are $1140.00 ordering off internet not including shipping, background and transfer.I have around $1200.00 in it. Its a new Adams Arms Tactical Evo Mid 5.56Adjustable PISTON drivenMid length gas system1/7 cmv barrelSamson free float rail B5 Sopmod stockSale $800.00"
10,http://www.armslist.com/posts/6688010,For Sale/Trade:  Glock 21 10 mm conversion,"Abbeville, Greenwood, South Carolina",$ 100,"Listed On: Saturday, April 8, 2017",Gun,Ruger                                                                                ,223/5.56 NATO                                                                                ,Single Action                                                                                ,Rifle,Stormlake conversion; bbl makes your glock 21 spit 10mm 16 rounds down pipe.
11,http://www.armslist.com/posts/6688011,For Sale/Trade:  Ruger SR22 Titanium,"Sylvania, Toledo, Ohio",$ 325,"Listed On: Friday, April 28, 2017",Handguns,Ruger                                                                                ,22 Long Rifle                                                                                ,Double / Single Action                                                                                ,Pistol,"Like new Ruger SR22 Titanium like new only 100 rounds through it. 2 10 round mags,extra grip, True Glow front sights. Original box."
