,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/4651000,For Sale:  custom target/sniper rifle,"festus, St. Louis, Missouri","$ 1,050","Listed On: Tuesday, September 15, 2015",Rifles,Savage Arms                                                                                ,300 Winchester Short Magnum                                                                                ,Bolt Action                                                                                ,Rifle,"mcrees precision chassis, 30"" ""savage"" bull barrel, accutrigger, collapsible stock, bipod, savage model 12 bolt action, 300 wsm  has only had about 50 rounds fired thru it... it weighs about 13 pounds..."
1,http://www.armslist.com/posts/4651001,For Sale/Trade:  1983 Yamaha IT 250,"NW Sub, Chicago, Illinois","$ 1,100","Listed On: Friday, November 27, 2015",Miscellaneous,no type,no type,no type,no type,"Very good condition for that year and runs smoothly without any problems. very low hours. 
California bike no rost no broken parts mint condition for that year.
Price is firm $$$$$cash.
REDACTED"
2,http://www.armslist.com/posts/4651002,For Sale:  Stainless SCCY CPX2 TT 9MM,"Bluffton, Lima, Ohio",$ 250,"Listed On: Sunday, August 30, 2015",Handguns,no type,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Like new stainless SCCY CPX2 TT 9MM $250.00 firm  4I923o3586
4,http://www.armslist.com/posts/4651004,For Sale:  CZ 24 Vz24 Czech WWII era pistol made in 1937.  380 caliber,"Midlothian, Richmond, Virginia",$ 395,"Listed On: Sunday, August 30, 2015",Handguns,CZ USA                                                                                ,380 ACP                                                                                ,no type,Pistol,CZ 24 Vz24 Czech WWII era pistol made in 1937.  380 caliber.  In great shape.  I small area of surface rust on the right side of the slide.  These work best with 9mm Kurtz which is a little hotter than the U.S. made 380.  All matching numbers.
5,http://www.armslist.com/posts/4651005,For Sale:  S&W Shield 9MM,"Naples, South West Florida, Florida",$ 400,"Listed On: Sunday, September 6, 2015",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,-Brand new Shield 9MM with thumb safety. Less than 100 rounds down the pipe. Face to Face in Naples only. Text REDACTED.
7,http://www.armslist.com/posts/4651007,For Sale:  Mitchell Arms Yugo M70  **SCAM**,"Raleigh / Durham / CH, North Carolina, United States",FREE,"Listed On: Sunday, August 30, 2015",Rifles,no type,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"*****SCAM***** *****SCAM***** *****SCAM*****
*****BUYER BEWARE***** *****BUYER BEWARE*****

This piece sorry no good for nothing, lazy, spineless, worthless piece of crap has STOLEN my pics from my auction on Gun Broker.

Here is my original listing where is SOLD on Gun Broker:
http://www.gunbroker.com/Auction/ViewItem.aspx?Item=502956696

Here is the THIEF'S Armslist posting:
http://www.armslist.com/posts/4648370/north-carolina-rifles-for-sale---mitchell-arms-yugo-m70--"
8,http://www.armslist.com/posts/4651008,For Sale:  1907 savage .32,"perryton texas, Amarillo, Texas",$ 200,"Listed On: Sunday, August 30, 2015",Handguns,Savage Arms                                                                                ,32 ACP                                                                                ,Single Action                                                                                ,Pistol,for sale 1907 savage .32 pistol. No rust shoots great. put on some aftermarket grips to replace old ones. priced to sell. if interested message me with phone number to send pictures to. computer pictures are not so great. will ship to your ffl.
9,http://www.armslist.com/posts/4651009,For Sale:  6.5 Grendel AR Upper,"Harpersville, Birmingham, Alabama","$ 1,350","Listed On: Saturday, November 28, 2015",Gun,no type,no type,no type,no type,"Brand New Never Fired 6.5 Grendel Upper
BCM Upper
20"" Shilen Match Barrel with matching bolt
15"" Seekins SP3R V3 Mod Free Float Rail
Seekins adjustable gas block
Seekins gas tube
Kies Nickel Boron Full Auto BCG
BCM gun fighter medium charging handle
One 15 round magazine

This upper is ready to go just need a standard complete at lower!

REDACTED"
10,http://www.armslist.com/posts/4651010,"For Sale/Trade:  cz-52, pps-43, tokarev, 7.62 x 25 ammo","jasper, Birmingham, Alabama",$ 300,"Listed On: Sunday, August 30, 2015",Ammo,no type,no type,no type,no type,800 rounds of beautiful Romanian 72 round boxes and some loose not in box. $300.00 or trade for BERSA 380 in excellent condition. 2o5 739 97o1
11,http://www.armslist.com/posts/4651011,For Sale:  Brand new Rock River Arm Operator 2,"Lake Arrowhead, Myrtle Beach, South Carolina","$ 1,000","Listed On: Monday, September 7, 2015",Rifles,Rock River Arms                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Brand new, never fired. Bought it last year and moved to Florida, never got around to firing, sitting in the safe and I just moved back. Many factory upgrades including the tactical carry handle with adjustable sight. I've added a Magpul angled foregrip, single point swivel with bungee sling and some rail covers. Comes with original RRA arms plastic case, manual and 1 Pmag. NO ammo included. Not looking for trades unless you have a Helluva nice clean high-end.556. NO lowballs, no home-made multi brand franken-guns, no polymer stuff, please don't waste our time, serious inquiries only please.
Face2face meeting in neutral, public place.  Valid drivers license and be willing to sign bill of sale.
For more info text me: 843-267-66seven2"
12,http://www.armslist.com/posts/4651012,For Sale:  M&P 15TS. 556,"Mishawaka, South Bend, Indiana","$ 1,200","Listed On: Sunday, August 30, 2015",Rifles,Smith & Wesson                                                                                ,5.56×45mm NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"M&P 15TS with a 15 "" free float key mod, magpul adjustable stock, trinity force redcon 1 scope combo with red dot optic, ATI grip, 1 mag magpul front flip up sight, magpul finger groove grip call or text REDACTED"
13,http://www.armslist.com/posts/4651013,For Sale:  WTS Glock 22 Gen 4,"Tampa/Lutz, Tampa/St. Pete, Florida",$ 1,"Listed On: Sunday, August 30, 2015",Handguns,Glock                                                                                ,40 S&W                                                                                ,no type,Pistol,"Glock 22 Gen 4 .40 fullsize pistol functions 100% has bright night sights come with factory case, 2-15rd Hi cap magazines 2 back straps and cleaning brush/rod cons previous owner poorly polished slide $400 obo FTF Tampa area only will not drive out area."
14,http://www.armslist.com/posts/4651014,"For Sale:  CZ 27 Vz27 Czech WWII era pistol made under German occupation, Nazi marked, 32 acp","Midlothian, Richmond, Virginia",$ 495,"Listed On: Sunday, August 30, 2015",Handguns,CZ USA                                                                                ,32 ACP                                                                                ,no type,Pistol,"CZ 27 Vz27 Czech WWII era pistol made under German occupation, Nazi marked, 32 acp.  Great condition but with a little bit of bluing loss.  All matching numbers."
16,http://www.armslist.com/posts/4651016,For Sale/Trade:  Mossberg 930 SPX Special Purpose Tactical Semiautomatic Shotgun,"Hickory, Hickory / Lenoir, North Carolina",$ 625,"Listed On: Sunday, August 30, 2015",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,Im selling my Mossberg 930 SPX Special Purpose Tactical Semiautomatic Shotgun. Less than 100 rounds through it.
17,http://www.armslist.com/posts/4651017,For Sale:  Ruger SR9C,"Sharonville, Cincinnati, Ohio",$ 400,"Listed On: Sunday, August 30, 2015",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,Ruger SR9C with 10 rd mag and 17 rd mag.  $400 OBO
18,http://www.armslist.com/posts/4651018,For Sale/Trade:  Masterpiece Arms Mac 11,"Southside, Indianapolis, Indiana",$ 400,"Listed On: Sunday, August 30, 2015",Handguns,MasterPiece Arms                                                                                ,9mm Luger (9x19)                                                                                ,no type,Pistol,"Masterpiece arms M-11 9mm pistol. Traditional top cocker Mac style pistol with barrel extension and 6, 32 round Sten magazines 1 factory 35 round mag and a submachine gun carry case. Will try to respond to all reasonable offers."
21,http://www.armslist.com/posts/4651021,For Sale:  H&K USP .40 OR trade,"Johnson City, Tri-cities, Tennessee",$ 600,"Listed On: Monday, September 14, 2015",Handguns,Heckler & Koch                                                                                ,40 S&W                                                                                ,Double / Single Action                                                                                ,Pistol,Nice USP .40 with one magazine In great condition. Will consider trades  REDACTED text or email only
22,http://www.armslist.com/posts/4651022,For Sale/Trade:  Ruger LC9 with crimson trace,"Burlington, Burlington, Vermont",$ 400,"Listed On: Monday, August 31, 2015",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"7+1 rounds. very few rounds through it, I bought it new. Comes with 2 ruger mags, ruger bag and Blackhawk inside the pocket holster. Has factory Crimson trace red dot trigger guard laser. would consider trades what have you got"
23,http://www.armslist.com/posts/4651023,For Sale:  Century Arms Catamount Fury II,"Sharonville, Cincinnati, Ohio",$ 500,"Listed On: Sunday, August 30, 2015",Shotguns,Saiga                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"Copy of Saiga 12. Comes with two 5 rd mags and two breaks, tools, original manual, box, certs).  Only have 5 rounds through it then stored in safe, one owner.  Buy at good price and skip the shipping, FFL transfer fee and sales tax.  Gun is like new.  $500 OBO."
24,http://www.armslist.com/posts/4651024,For Sale:  AK 47 75 round drum,"nw suburbs, Chicago, Illinois",$ 85,"Listed On: Sunday, August 30, 2015",Magazines,no type,no type,no type,no type,Chinese manufactured AK 47 75 round drum. I don't think these have ever been used.  If these are not allowed in your area than please respect the law. 7.62x39
