,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/4000000,For Sale/Trade:  mossberg 500 a 12 ga,"saluda, Columbia, South Carolina",$ 250,"Listed On: Thursday, February 5, 2015",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,mossberg 500 a 12 ga a few nicks and scratches nothing major
1,http://www.armslist.com/posts/4000001,For Sale:  CCI MINI MAG 22LR 36 GR HP 22 LONG RIFFLE AMMO,"Wheeling, WV, Wheeling, West Virginia",$ 550,"Listed On: Thursday, February 5, 2015",Ammo,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,This listing is for 5000 rounds of CCI mini mags 22lr ammo. 50 individual cases of 100 rounds each. For local pickup only. Willing to drive 10 miles to meet. Thank you.
2,http://www.armslist.com/posts/4000002,For Sale:  Glock 21sf .45 ACP pistol  (Reduced Price),"Bloomfield, Pittsburgh, Pennsylvania",$ 500,"Listed On: Sunday, February 22, 2015",Handguns,Glock                                                                                ,45 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"Glock 21 SF (slim frame) .45 Auto pistol with only 150 rounds through it.  I decided I only needed one .45 after all, and that that would have to be the ol 1911.
Comes with the following items:

-Blackhawk SERPA holster (with belt and paddle attachment)  ($35)
-2x  30-round Kriss Vector magazines  (OEM Glock 21 mags with extension sleeve and spring)
-1x  extra standard 13-round Glock 21 mag  ($25)
-1x  additional 30-round Kriss Vector mag extension  (if you decide you want to convert the 13-round mag to a 30-round mag)  *(each of the three mag extensions were $35 each)

$715 value - selling for $500

Sorry, no trades at this time

Also selling a Glock 17 9mm
http://www.armslist.com/posts/3999841/pittsburgh-pennsylvania-handguns-for-sale--upgraded-glock-17-9mm---reduced-price-

and a .22lr Glock 17/22
http://www.armslist.com/posts/3999972/pittsburgh-pennsylvania-handguns-for-sale--glock-tactical-solutions-17-22--22lr-pistol"
3,http://www.armslist.com/posts/4000003,For Sale:  COLT 357 (PRE TROOPER & PYTHON) 6IN.,"PORT CHARLOTTE, South West Florida, Florida","$ 1,500","Listed On: Thursday, February 5, 2015",Handguns,Colt                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"NO 3833 OF 15000 MADE . CAME IN BLUE OR NICKEL BETWEEN 1953 & 1961 . THIS ONE IS A PRESENTATION MODEL &  SPECIAL LIMITED EDITION WITH THE GOLD TRIGGER , HAMMER AND CYLINDER RELEASE, I COULDN,T FIND ANYONE THAT HAS EVER SEEN ONE OTHER THAN GUN BOOKS. THIS ONE IS A BEAUTIFUL GUN IN EVERY ASPECT GRIPS & NICKEL SHOWS NO  WEAR. THANK FOR LOOKING."
4,http://www.armslist.com/posts/4000004,For Sale/Trade:  s&w m&p pro core 4.5 9mm like new,"okc, Oklahoma City, Oklahoma",$ 600,"Listed On: Thursday, February 5, 2015",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,Looking to sale But will consider all trade offers
6,http://www.armslist.com/posts/4000006,For Sale:  Taurus 840 mag,"richlands, Jacksonville, North Carolina",$ 25,"Listed On: Wednesday, February 18, 2015",Magazines,no type,no type,no type,no type,I have for sale a taurus 840 mag they are hard to find..I am asking 25 for it or trade for a glock 19 or 17 mag
8,http://www.armslist.com/posts/4000008,For Sale:  Taurus 22LR revolver,"Delphi, Lafayette, Indiana",$ 350,"Listed On: Thursday, February 5, 2015",Handguns,Taurus                                                                                ,22 Long Rifle                                                                                ,no type,Revolver,Gun is in perfect working order. 9 shot.
9,http://www.armslist.com/posts/4000009,"For Sale:  Ruger Super Blackhawk  44mag  SS  5.5"" barrel  LNIB Priced to SELL","Franktown, Denver, Colorado",$ 450,"Listed On: Tuesday, February 10, 2015",Handguns,Ruger                                                                                ,44 Magnum                                                                                ,Single Action                                                                                ,Revolver,"A like new Ruger Super Blackhawk in 44mag.  Only 18 rounds fired, factory ammo.  Reason for sale; bought a Ruger Alaskan in 44mag.  Was bought new.  Comes with box, manual, lock etc.  No trades.  Must do ffl transfer per state law."
10,http://www.armslist.com/posts/4000010,For Sale:  Beautiful Yugo SKS All matching serial numbers,"Canton/Akron, Akron, Ohio",$ 425,"Listed On: Thursday, February 5, 2015",Rifles,Ruger                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"Beautiful Yugo SKS 7.62X39
Draganov Stock
Simmons 3-9X50 Scope
Sling
All serial numbers match
No rust or scratches
Please email me thru armslist or call or text me at REDACTED

$425 obo"
11,http://www.armslist.com/posts/4000011,For Sale:  Remington 597 22lr,"Havelock, Jacksonville, North Carolina",$ 200,"Listed On: Wednesday, March 11, 2015",Rifles,Remington                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"used Remington 597 with scope  
good condition very accurate and reliable.
comes with  1 10 round mag  and 1 30 round mag 
1 box of 50 round 22lr 

please don't offer me 150   the gun brand new is 230 after taxes and 20 for the magazine and 5 bucks for a box of 50 that is easy 250 for this 22 
even at what im asking you are still getting a good deal on a good rifle that is still very new"
12,http://www.armslist.com/posts/4000012,For Sale:  (New)STOVE-TEC (JET STOVE) with 2 SUPER POTS (NEW),"NEWNAN,GA, Atlanta, Georgia",$ 100,"Listed On: Thursday, February 5, 2015",Miscellaneous,Remington                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"New Jet Stove with Two Super Pots with Lids. Stove uses a Very Small Amount of Wood to Cook With. Used for Camping, Emergency,ETC.  Comes with Wood Feeder Rack,Storage Container,Pot Skirt.  No Shipping/Cash Only. REDACTED"
13,http://www.armslist.com/posts/4000013,For Sale:  Winchester Model 12,"Lakewood, Denver, Colorado",$ 350,"Listed On: Thursday, February 5, 2015",Shotguns,Winchester                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Winchester Model 12. 12 Gauge, 30"" Barrel, Full Choke, 5 Shot. Serial dates manufacture in 1935. Used, Stock and Finish 65-70%. Includes carry case."
14,http://www.armslist.com/posts/4000014,For Sale/Trade:  MKA 1919 Semi-Auto 12 Guage AR-15 Style,"St. Louis, St. Louis, Missouri",$ 599,"Listed On: Tuesday, February 10, 2015",Shotguns,Winchester                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"I have a MKA 1919 in very good condition.  It has a smooth barrel.  It is made by Akdal and is a 12 guage semi auto.  Magazine holds 5+1.  Includes Field & Stream strap like new.  

Would prefer cash but am open to trades just send me an email."
15,http://www.armslist.com/posts/4000015,"For Sale:  Browning ""Silver"" rifled deer shotgun with Leupold VX-1 scope","Gettysburg, Harrisburg, Pennsylvania","$ 1,100","Listed On: Tuesday, June 9, 2015",Shotguns,Browning                                                                                ,20 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"Browning ""Silver"" rifled deer shotgun in 20 gauge, featuring cantileverd 22"" rifled barrel with Mossy Oak Break-Up Infinity camo pattern finish matching over entire gun.  Shotgun mounts a Leupold VX-1 shotgun scope 3-9x40mm.  Gun new price was $1195, scope+rings+bases another $305.  Asking $1100.  Will consider offers and partial trades.  Questions call or txt 407-443-nine 852."
