,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/4384000,For Sale:  FNH SCAR 17S .308,"Texas, Texas, United States","$ 2,100","Listed On: Saturday, May 30, 2015",Rifles,FN Herstal S.A.                                                                                ,7.62x51mm NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"FNH USA 17S Carbine FN 98561 SCAR 17S Semi-Auto 308 Win/7.62 NATO 16.25"" 20+1 Adj Fld Stk Blk Experience the long range accuracy, downrange power, exceptional reliability and match winning versatility of the FN SCAR 17S, the semi-auto only version of the U.S. Special Operations Command's newest service rifle. Chambered in 7.62x51mm NATO (308 Win.), the SCAR 17S features a free floating, cold hammer forged MIL-SPEC barrel with hard chromed bore. Fully ambidextrous operating controls instantly adapt the SCAR 17S to any user or any shooting position. The receiver integrated MIL-STD 1913 optical rail plus three accessory rails enable mounting of wide variety of scopes, electronic sights, tactical lights and lasers. The telescoping, side folding polymer stock is fully adjustable for comb height and length of pull, making it ideal for Heavy Metal 3-Gun matches"
3,http://www.armslist.com/posts/4384003,Want To Buy:  Wtb taurus 9mm or 380,"Kingsport, Tri-cities, Tennessee",$ 1,"Listed On: Saturday, May 30, 2015",Handguns,Taurus                                                                                ,9mm Luger (9x19)                                                                                ,no type,Pistol,Wtb taurus 9mm or 380 let me know what you have thanks.
4,http://www.armslist.com/posts/4384004,For Sale/Trade:  Dan Wesson 714 Stainless 357 fixed barrel,"Commerce, Athens, Georgia",$ 550,"Listed On: Saturday, May 30, 2015",Handguns,Dan Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"One owner gun, I purchased in the early 80s. Safe queen most of it's life, but shoots great (was at the range today). Not interested in low balls as just looking to fund other projects. Willing to negotiate, but be reasonable.  Open to trades; mainly rifles in 22M or 223/556. Could add cash for the right deal."
5,http://www.armslist.com/posts/4384005,For Sale:  Rock river ar $900obo,"Great Falls, Great Falls, Montana",$ 900,"Listed On: Saturday, June 13, 2015",Rifles,Rock River Arms                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Rock river ar
Quad rail
Fixed front site
Magpul flip up rear site
Ambi sling point for single point sling
Brown vism scope. 
Scope has illuminated reticle, red and white led, and a green laser 
Not even 200 rounds through it. 
The reason I'm getting rid of it is that I don't need two and could use the money. 
It comes with two mags and a sling. 
I'm asking $900 obo
Call or text anytime if you want to know more or see it. 
REDACTED josh"
6,http://www.armslist.com/posts/4384006,For Sale:  Radical arms ar pistol,"Bunn/Rolesville, Raleigh / Durham / CH, North Carolina",$ 950,"Listed On: Friday, June 5, 2015",Handguns,no type,223/5.56 NATO                                                                                ,no type,Pistol,"Radical Arms Ar Pistol with 10.5 inch barrel, 1 in 7 twist, quad rail, sig brace, tan rail covers, bushnell trs-25 with riser, soft case with mag pouches and 30rd pmag. Only had 20 rds threw it. Must have ccw or pistol permit. Located in Bunn or Rolesville. Gun- $799, trs-25- 150, soft case- 50, rail covers- 40. Over 1,000 dollars in it. Asking $950 obo"
7,http://www.armslist.com/posts/4384007,For Sale/Trade:  1982 Suzuki gs450 project,"Greene County, Dayton, Ohio",$ 300,"Listed On: Saturday, May 30, 2015",Vehicles,no type,no type,no type,no type,"Project bike, wiring issue (hasn't been professionally diagnosed), can't find title but can makebill if sale, last year installed new battery, LED taillight and turn signals, don't have time to work on it any more. Open to most trades. Riding mower would be nice but let me know what you have."
8,http://www.armslist.com/posts/4384008,For Sale/Trade:  4inch XD 9mm Brand New Not Even 50 shots fired through it.,"Metairie, New Orleans, Louisiana",$ 550,"Listed On: Sunday, May 31, 2015",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"I'm Loooking To Trade My 4 inch XD 9mm for Almost any  Glock 45,40 or 9mm Gen 3 or 4 My XD Is Brand New Not Even 50 Shots Fired Through it Since Purchased Comes With One 17rnd Clip & 30rnd Mag if interested text or call REDACTED"
10,http://www.armslist.com/posts/4384010,For Sale:  m77 Ruger MINT CONDITION .257 roberts,"Down town, Pittsburgh, Pennsylvania",$ 550,"Listed On: Saturday, May 30, 2015",Rifles,Ruger                                                                                ,257 Roberts                                                                                ,Bolt Action                                                                                ,Rifle,"I have a perfect condition Ruger that I have to sell to get ready for the next stage of life. Gun has been shot 10 times. This is an excellent hunting rifle. Nothing is wrong with it; I just don't have the space. Price is negotiable. 20 +P Hornady GMX cartridges and a box will be included for free.

Text 412 
735 6171"
12,http://www.armslist.com/posts/4384012,"For Sale/Trade:  40 cal, 1,000 rounds","Lee's Summit, Kansas City, Missouri",$ 0,"Listed On: Saturday, May 30, 2015",Ammo,no type,no type,no type,no type,"Selling 1000 rounds of American Eagle FMJ 40 cal.

Looking to trade for 500 rounds of 9mm and 500 rounds of 223, both brass cased only.
Not wanting to get rid of all 1000 rounds for a single ammo type, not wanting to sell in smaller increments"
13,http://www.armslist.com/posts/4384013,For Sale:  Glock 22 Gen 4,"Maryville, Knoxville, Tennessee",$ 500,"Listed On: Saturday, May 30, 2015",Handguns,Glock                                                                                ,40 cal                                                                                ,no type,Pistol,"Glock 22 Gen 4 Less than 100 rounds fired.Comes with 1 17 round mag,2 15 round mags,Hardcase,etc.Gun is almost new 500 firm,No trades. call or text 865 eight zero one eight six 96"
15,http://www.armslist.com/posts/4384015,For Sale/Trade:  tokarev 7.62x25 with holster,"apex, Raleigh / Durham / CH, North Carolina",$ 250,"Listed On: Saturday, May 30, 2015",Handguns,Makarov                                                                                ,no type,Double Action                                                                                ,Pistol,"I have a tokarev m57 for sale with holster and extra mag. Willing for trades too

REDACTED"
