,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/7452000,For Sale/Trade:  Two CHF ar15 uppers 10.5”/16”,"Goose Creek, Charleston, South Carolina",$ 1,"Listed On: Sunday, October 15, 2017",Gun,no type,no type,no type,no type,10
3,http://www.armslist.com/posts/7452003,For Sale:  Barska Quick Access Biometric Rifle Gun Safe AX11652 LIKE NEW,"Columbus, Columbus, Ohio",$ 150,"Listed On: Sunday, November 5, 2017",Gun,no type,no type,no type,no type,Barska Quick Access Biometric Rifle Safe AX11652. LIKE NEW in excellent condition. Completely functional. Comes with all accessories and unregistered warranty card. Selling only because I've acquired a larger safe. Price is $150 FIRM. NO TRADES.
4,http://www.armslist.com/posts/7452004,For Sale:  Rossi Youth Matched Pair  22lr/410,"Quakertown, Southeastern, PA, Pennsylvania",$ 150,"Listed On: Saturday, October 21, 2017",Rifles,Rossi-Braztech                                                                                ,22 Long Rifle                                                                                ,Break Open                                                                                ,Rifle,"Rossi Youth Matched pair, combo rifle/shotgun with a 22lr barrel and a 410 shotgun barrel. Barely ever fired,has mostly just been stored. Very light and compact,perfect for a new shooter,target shooting or small game hunting.Local PA sale only,No shipping"
7,http://www.armslist.com/posts/7452007,For Sale/Trade:  ruger redhawk for 03a3 rifle,"Westminster, Colorado, United States",$ 650,"Listed On: Sunday, October 15, 2017",Antique,no type,no type,no type,no type,Looking to trade my ruger redhawk .44 magnum in box with hunter brand holster and ammunition for a nice remington 03a3 rifle in proper functioning condition correct headspace and great bore etc. If you have something i may be interested in reply by call or text REDACTED
8,http://www.armslist.com/posts/7452008,For Sale:  Glock 22 Gen 4,"Bonney Lake/ Kent, Washington, United States",$ 440,"Listed On: Sunday, April 1, 2018",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Immaculate, factory stock, standard sights Glock 22 Gen 4 for sale. About 50 rounds through it and never carried, it was pretty much a safe queen. Pistol comes with 3 mags, backstraps, mag loader and original plastic case.We can meet in Bonney Lake at Pistol Annies or Brads Guns in the morning or Kent in the early afternoon for FFL transfer. Buyer will pay for transfer.Call or text REDACTED"
10,http://www.armslist.com/posts/7452010,For Sale:  Beretta Pico,"Bartlett, Memphis, Tennessee",$ 300,"Listed On: Saturday, November 25, 2017",Handguns,Beretta USA                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,"Beretta Pico, new version with upgraded trigger, 5 magazines, pocket holster, leather holster, spare grip frame and backup parts."
12,http://www.armslist.com/posts/7452012,For Sale/Trade:  Springfield Armory XDM 3.3  9mm,"Piperton, Memphis, Tennessee",$ 550,"Listed On: Sunday, February 4, 2018",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Springfield Armory XDM 9mm.
13,http://www.armslist.com/posts/7452013,For Sale:  FN BROWNING HI-POWER,"New York, New York, United States",$ 600,"Listed On: Sunday, October 15, 2017",Handguns,FN Herstal S.A.                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"T serial number all original parts, slide roll marking, Fabrique Nationale DArmes De Guerre Herstal, Belgique Brownings Patent Depose pachmayr grips, black Cerakote slide FDE frame"
15,http://www.armslist.com/posts/7452015,For Sale/Trade:  Keltec,"Summerfield, Ocala, Florida",$ 250,"Listed On: Sunday, October 15, 2017",Handguns,Kel-Tec,no type,no type,no type,"Keltec 9mm grey with two mags,pocket clip and extra sights  Good conceal carry gun call or text REDACTED thanks"
16,http://www.armslist.com/posts/7452016,For Sale:  Savage 110E 30-06 with scope,"Quakertown, Southeastern, PA, Pennsylvania",$ 325,"Listed On: Tuesday, December 12, 2017",Rifles,Savage Arms                                                                                ,30-06 Springfield                                                                                ,Bolt Action                                                                                ,Rifle,"Older model Savage 110e, this rifle is a classic and is extremely accurate. Lightly used and in great shape,comes with a 3-9x40 scope and some ammo.Local PA sale only,no shipping,no trades please just need to sell"
17,http://www.armslist.com/posts/7452017,For Sale/Trade:  Keltec pf9 w/crimson trace laser and pocket clip,"Monmouth, Salem, Oregon",$ 200,"Listed On: Sunday, October 15, 2017",Handguns,Kel-Tec                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,Lmk what’s out there. $200 firm or trades welcom.
18,http://www.armslist.com/posts/7452018,For Sale/Trade:  Browning citori lightning,"Richwoods, Missouri, United States","$ 1,100","Listed On: Sunday, October 15, 2017",Shotguns,Browning                                                                                ,20 Gauge                                                                                ,Over and Under                                                                                ,Shotgun,Browning citoru lightning 20 ga over under shotgun. Manufactured in 1989 and still in excellent condition. Comes with chokes and a lockable case. Rarely used. If you have any questions fill free to ask.
19,http://www.armslist.com/posts/7452019,For Sale:  Sks,"Cuyahoga Falls, Akron, Ohio",$ 325,"Listed On: Sunday, December 17, 2017",Rifles,Norinco                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,sks with folding stock and 2 mags ( not pictured) and scope dont know much about it ive personally never shot it  $325.00 firm  may trade let me know what you got I do not have any ammo for the rifle.. possible trades for a  compound bowlocal pickup only
20,http://www.armslist.com/posts/7452020,For Sale:  Glock 23 Gen 3,"Bonney Lake/ Kent, Washington, United States",$ 400,"Listed On: Wednesday, December 13, 2017",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Immaculate, factory stock, standard sights Glock 23 Gen 3 for sale. About 20 rounds through it and never carried, it was pretty much a safe queen. Pistol comes with 3 mags, mag loader and original plastic case. This pistol is in ""Like New"" condition. The price is firm.We can meet in Bonney Lake at Pistol Annies or Brads Guns in the morning or Kent in the early afternoon for FFL transfer. Buyer will pay for transfer.Call or text REDACTED"
