,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/3568000,For Sale:  Walther p99 40cal as new in box,"Silver springs, Ocala, Florida",$ 450,"Listed On: Saturday, October 4, 2014",Handguns,Walther                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Walther p99 40cal like new in box  real nice 2 mags with all factory supplies items,$450.00 REDACTED"
1,http://www.armslist.com/posts/3568001,For Sale/Trade:  New in box Lew Horton Para Expert Carry  (One of 250 made}  $625.00 For sale or trade.,"St Louis Area, St. Louis, Missouri",$ 625,"Listed On: Friday, October 10, 2014",Handguns,Para Ordnance                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"New in box and never fired Lew Horton Para NS Expert Carry with 3 inch Match grade barrel, wood skull grips and plastic factory grips.
This is one of 250 made like this.
It has night site and 2-8 round mags from the factory and shoots the impressive 45 cal bullet.
I purchased the pistol locally this summer and put it into the safe and never fired it.

I will trade for a good full size 9mm pistol or ar 15 in 223 cal. and cash up or down
Thanks for looking.
Text  REDACTED."
2,http://www.armslist.com/posts/3568002,For Sale/Trade:  For sale or trade,"Proir lake, Minneapolis / St. Paul, Minnesota",$ 225,"Listed On: Saturday, October 4, 2014",Shotguns,Smith & Wesson                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,I have a smith and Wesson 12 ga pump shotgun model 916a call REDACTED
3,http://www.armslist.com/posts/3568003,For Sale:  KAHR PM40,"Allen, Dallas, Texas",$ 500,"Listed On: Saturday, October 4, 2014",Handguns,Kahr                                                                                ,40 S&W                                                                                ,no type,Pistol,"KAHR PM 40, Stainless slide, white bar-dot combat sights.

Box, papers, 4 magazines etc...

$500.00

Text is more reliable/faster....... REDACTED"
4,http://www.armslist.com/posts/3568004,For Sale/Trade:  For sale / For trade,"Seattle / Kent, Seattle, Washington",$ 500,"Listed On: Saturday, October 4, 2014",Handguns,Taurus                                                                                ,357 Magnum                                                                                ,Single Action                                                                                ,Revolver,"Hello fellow gun owner.
I got here is a Taurus Tracker SS 357 magnum with 4 Inch. Barrel.
For sale or trade."
5,http://www.armslist.com/posts/3568005,For Sale:  LNIB Springfield XD-45ACP Tactical,"SE Tulsa, Tulsa, Oklahoma",$ 525,"Listed On: Sunday, January 4, 2015",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"I have a LNIB Springfield XD-45ACP Tactical, 2-13 round mags, hard case and all of the XD gear and papers.  $525.00 cash, might consider trades, no revolvers or rifles.  I can not receive text on my cell phone.  Contact me thru armslist or call nine1eight seven0six three3five6.  Not available after 4pm"
6,http://www.armslist.com/posts/3568006,For Sale/Trade:  Kahr cm 9 and accessories,"Gonzales/Baton Rouge, Baton Rouge, Louisiana",$ 520,"Listed On: Thursday, October 30, 2014",Handguns,Kahr                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Kahr cm 9 in excellent like new condition. Roughly 500 rounds through it. Also included (2) 7 round mags with exstension and (3) flush 6 round mags, (1) de santis pocket holster,(1) iwb hybrid holster and (1) iwb/owb mag holster. Sorry no ammo included. Pistol does come with all original packaging and paper work. Asking $520. buyer must sign a bill of sale and provide a drivers liscense number. Willing to meet in the gonzales or Baton Rouge area."
7,http://www.armslist.com/posts/3568007,For Sale:  Heckler and Koch HK VP9 with Tritium Night Sights,"Brandon, Tampa/St. Pete, Florida",$ 650,"Listed On: Saturday, October 4, 2014",Handguns,Heckler & Koch                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"HK VP9 with added Tritium night sights. About 200 Rounds through it. No issues other than I like my Glock more.

Asking 650.

By Contacting me you are affirming that you are legally eligible to purchase and own a firearm in this state. 
FL DL and Bill of sale required. CWP Preferred."
8,http://www.armslist.com/posts/3568008,For Trade:  XDM 9MM 3.8,"woodland-kalama, Southwest Washington, Washington",Offer,"Listed On: Saturday, October 4, 2014",Handguns,no type,9mm Luger (9x19),no type,no type,"Great pistol
All factory xdm stuff
3 19rd mags"
10,http://www.armslist.com/posts/3568010,For Sale:  Ruger LC9,"Cincinnati, Cincinnati, Ohio",$ 300,"Listed On: Saturday, November 1, 2014",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Ruger LC9  semi-auto pistol 9mm W/ 3 dot sight 
system  7 shot mag and manual safety as well as internal lock
and magazine safety w/ loaded chamber 
indicator. Low round count original box and paperwork
perfect condition call for details"
